,Name,PGC,RA,Dec,Dis,e_Dis_min,e_Dis_max,ref_dis,V_h,e_V_h,ref_V_h,Source,Type,e_V_LG,RA_radians,Dec_radians,cos_theta_CoM_NGC5128_CenA_NGC5236_M83_0.7,angular_distance_CoM_NGC5128_CenA_NGC5236_M83_0.7,dis_center_CoM_NGC5128_CenA_NGC5236_M83_0.7,e_dis_center_min_CoM_NGC5128_CenA_NGC5236_M83_0.7,e_dis_center_max_CoM_NGC5128_CenA_NGC5236_M83_0.7,major_infall_velocity_CoM_NGC5128_CenA_NGC5236_M83_0.7,e_major_infall_velocity_min_CoM_NGC5128_CenA_NGC5236_M83_0.7,e_major_infall_velocity_max_CoM_NGC5128_CenA_NGC5236_M83_0.7,minor_infall_velocity_CoM_NGC5128_CenA_NGC5236_M83_0.7,e_minor_infall_velocity_min_CoM_NGC5128_CenA_NGC5236_M83_0.7,e_minor_infall_velocity_max_CoM_NGC5128_CenA_NGC5236_M83_0.7
0,PGC1599237,PGC1599237,138.4131,19.6188,8.128305161640995,0.3300040564084057,0.3439689797649734,CF4,322.74875595669494,2.0,LEDA,,,2.0,2.415764322892163,0.005976228235311479,0.4382292703126205,1.1171685672440261,7.3166845432524905,0.23142061181163565,0.23142061181163565,3020.779714054205,1410.9183135291387,1410.9183135291387,298.31522518442085,80.78571224224962,80.78571224224962
1,PGC166152,PGC166152,196.2597,-40.0823,5.807644175213121,0.3374845462734024,0.3583058434016974,CF4,361.9355030193232,2.0,LEDA,,,2.0,3.4253779539763154,-0.01220976680511679,0.9942350059458829,0.1074294352423647,1.924713544070538,0.7282439766719685,0.7282439766719685,60.26157195340468,5.5613231018092915,5.5613231018092915,66.50937282877221,13.132067153107295,13.132067153107295
2,KK189,PGC166158,198.1883,-41.832,4.21,0.17,0.17,-6,501.46315827146793,4.0,-7,stars,dSph,4.0,3.459038373930278,-0.012742755904517594,0.9972796533898706,0.0737777864480277,0.3957390375029866,1.639612249374156,1.639612249374156,317.8919059353276,140.24161913996602,140.24161913996602,151.40304455728312,74.57090765914994,74.57090765914994
3,PGC166163,PGC166163,200.2845,-31.5291,5.495408738576244,0.2473341360785239,0.2589906347953272,CF4,344.5713239817594,3.0,LEDA,,,3.0,3.495623965710583,-0.009604313090197113,0.9993065263821215,0.0372438930201171,1.552176533245991,0.6621552679779712,0.6621552679779712,41.869318207333805,5.709898994262189,5.709898994262189,42.83307141350777,7.017276450230696,7.017276450230696
4,KK203,PGC166167,201.8681,-45.3524,3.78,0.25,0.25,-3,57.40932932841815,10.0,-7,stars,Tr,10.0,3.523262999745165,-0.013815131069134724,0.9999520625091249,0.00979161619759088,0.17706087132395665,5.087667480182643,5.087667480182643,250.9661402544139,20.603018859046102,20.603018859046102,240.11763805843978,300.29649968696395,300.29649968696395
5,KK221,PGC166179,207.1917,-46.9974,3.82,0.07,0.07,-1,267.8207857080964,13.0,-14,stars,dIrr,13.0,3.616177347804335,-0.014316226724683858,0.9965242987389125,0.0833992391555245,0.3502128598990589,0.6944577715509885,0.6944577715509885,86.0618749633268,60.0735540462942,60.0735540462942,35.2793837506619,10.035154880034613,10.035154880034613
6,PGC020125,PGC20125,106.3238,-58.5189,5.176068319505678,0.2556729626911664,0.2689582089185336,CF4,278.68704610944906,4.0,LEDA,,,4.0,1.855700383231947,-0.01782587632675642,-0.10588495022975085,1.6768801389902432,6.837443140282995,0.2370764886854612,0.2370764886854612,504.8475618149494,15.679297277393255,15.679297277393255,427.3808430087404,83.7233993017077,83.7233993017077
7,ESO558-011,PGC20171,106.7376,-22.0396,7.014552984199714,0.3157068900344519,0.3305856973714407,CF4,493.0354562113097,3.0,LEDA,,,3.0,1.8629225556766995,-0.006713646085131142,-0.09884544088242332,1.669803439777853,8.385197872795016,0.31189645390308174,0.31189645390308174,634.4635135006432,20.84408276102422,20.84408276102422,603.2186703778689,157.0161660322768,157.0161660322768
8,UGC03755,PGC20445,108.4653,10.5211,7.516228940182051,0.1710902586109073,0.1750754626840427,CF4,188.80529607802544,2.0,LEDA,,,2.0,1.8930766091634055,0.00320491033531794,-0.06891838059850579,1.639769381769121,8.730119090963262,0.1670943366535926,0.1670943366535926,616.717082999309,15.220661211678197,15.220661211678197,323.5326809125453,47.39501597974078,47.39501597974078
9,ESO059-001,PGC21199,112.8268,-68.1875,4.5289757990362105,0.0621398775265786,0.0630043293324806,CF4,246.7721819663658,4.0,LEDA,,,4.0,1.9691991444891384,-0.02077110031170619,0.007421787133098931,1.5633744715244857,5.989310117909601,0.06737706392452542,0.06737706392452542,459.9645285420885,9.578826951424102,9.578826951424102,383.5629933869583,21.897768921792114,21.897768921792114
10,UGC03974,PGC21600,115.4808,16.8025,7.979946872679773,0.073160592681515,0.0738375393108983,CF4,162.279877513386,2.0,LEDA,,,2.0,2.0155201828370677,0.005118334195966171,0.05341341629239219,1.51735747982237,8.714109969853274,0.07028083207189893,0.07028083207189893,726.8336471066743,18.465322825474892,18.465322825474892,267.23505037448797,17.444211016456812,17.444211016456812
11,PGC021614,PGC21614,115.632,16.5612,7.798301105232589,0.1069967023664952,0.1084851747656685,CF4,172.84758687488682,4.0,LEDA,,,4.0,2.018159120666083,0.005044830012571638,0.05604905273370636,1.5147178861819315,8.54305987224679,0.09774714341732643,0.09774714341732643,712.2872781566505,19.364762706371184,19.364762706371184,277.9250323801206,25.772781348868566,25.772781348868566
12,UGC04115,PGC22277,119.259,14.391,7.691304402866094,0.1055286525742618,0.1069967023664952,CF4,222.34111983350223,6.0,LEDA,,,6.0,2.0814622126359175,0.004383749288150523,0.11910080460212565,1.4514121353250768,8.218270024207488,0.0915173255919149,0.0915173255919149,747.8275544541933,23.52601344697965,23.52601344697965,307.2523531162163,27.66768659234338,27.66768659234338
13,ESO495-021,PGC24171,129.0633,-26.4093,8.053784411990671,0.2554833067580819,0.2638532990360431,CF4,571.9098072004841,9.0,LEDA,,,9.0,2.2525795284891976,-0.008044732824373122,0.2865559766162859,1.2801662071190854,7.88946169353254,0.1943456003335861,0.1943456003335861,666.3366221540803,63.33616084780329,63.33616084780329,564.854119917836,115.0317643752092,115.0317643752092
14,ESO496-010,PGC24781,132.2749,-26.3215,8.394599865193978,0.3036408734101439,0.315036034366825,CF4,519.3701878521875,10.0,LEDA,,,10.0,2.3086325227462474,-0.00801798741491585,0.33977575179517605,1.2241178729901514,7.971531114641319,0.22494329929163653,0.22494329929163653,915.1336079140217,141.58686178189407,141.58686178189407,501.23949963153905,123.60502833037367,123.60502833037367
