Unnamed: 0,Name,PGC,dis_center_CoM_CenA_M83_0.76,e_dis_center_min_CoM_CenA_M83_0.76,e_dis_center_max_CoM_CenA_M83_0.76,major_infall_velocity_CoM_CenA_M83_0.76,e_major_infall_velocity_min_CoM_CenA_M83_0.76,e_major_infall_velocity_max_CoM_CenA_M83_0.76,minor_infall_velocity_CoM_CenA_M83_0.76,e_minor_infall_velocity_min_CoM_CenA_M83_0.76,e_minor_infall_velocity_max_CoM_CenA_M83_0.76
0,PGC7668756,PGC7668756,12.756936028285708,0.5,0.5,1086.0508200382528,130,130,948.7061656158636,80,80
1,PGC4179476,PGC4179476,12.165276475193371,0.5,0.5,929.0636281796457,130,130,1045.358350761671,80,80
2,PGC6583592,PGC6583592,6.310402853920353,0.5,0.5,454.2766645518788,130,130,470.2277516195569,80,80
3,PGC4103463,PGC4103463,14.240727223024672,0.5,0.5,1105.51455501607,130,130,1015.9883447265499,80,80
4,PGC1241791,PGC1241791,10.537394960043816,0.5,0.5,855.0154494541522,130,130,946.0976406696101,80,80
5,PGC9836087,PGC9836087,3.6792091415651154,0.5,0.5,268.30927361393384,130,130,239.06265759831393,80,80
6,PGC1131099,PGC1131099,6.007470369277679,0.5,0.5,620.8908440045386,130,130,550.4848411357266,80,80
7,PGC6727397,PGC6727397,7.589709460089508,0.5,0.5,749.9210109457347,130,130,810.3782978181827,80,80
8,PGC8784284,PGC8784284,8.409797920947971,0.5,0.5,846.6082262018124,130,130,751.7524731104156,80,80
9,PGC3273425,PGC3273425,4.717032185521102,0.5,0.5,440.1187994556999,130,130,469.0206121602365,80,80
10,PGC4759798,PGC4759798,14.029174227591268,0.5,0.5,1117.3616696866748,130,130,1124.9224549201012,80,80
11,PGC3053010,PGC3053010,7.239725039180788,0.5,0.5,501.9047130341013,130,130,530.0029116530923,80,80
12,PGC3359127,PGC3359127,6.168787554612438,0.5,0.5,398.55745134675135,130,130,399.6835188834685,80,80
13,PGC3907822,PGC3907822,14.104883720852785,0.5,0.5,1096.1659315818397,130,130,1058.4353751672506,80,80
14,PGC8411842,PGC8411842,11.400740022828673,0.5,0.5,1001.0354354043384,130,130,928.2556707776108,80,80
15,PGC7882018,PGC7882018,6.636966687298911,0.5,0.5,338.7928351284909,130,130,522.4411008049934,80,80
16,PGC6430454,PGC6430454,5.1863115609246275,0.5,0.5,521.6765076761193,130,130,451.8835263459854,80,80
17,PGC8313027,PGC8313027,14.35610393115892,0.5,0.5,1266.0698432484055,130,130,1275.8111781771006,80,80
18,PGC3340249,PGC3340249,14.560139125628378,0.5,0.5,1280.9564764535016,130,130,1168.620668809434,80,80
19,PGC6125482,PGC6125482,7.739400541389057,0.5,0.5,601.1271928973844,130,130,565.9149182183678,80,80
20,PGC3748714,PGC3748714,8.266812364392568,0.5,0.5,697.2296394821274,130,130,694.8591501812163,80,80
21,PGC3011062,PGC3011062,5.122085621498648,0.5,0.5,475.6368840769651,130,130,414.852092648648,80,80
22,PGC8791939,PGC8791939,7.374509013413821,0.5,0.5,574.8308527739777,130,130,459.2520632887482,80,80
23,PGC6657997,PGC6657997,4.7862013610555865,0.5,0.5,448.7428994519387,130,130,413.4133143342096,80,80
24,PGC2012070,PGC2012070,9.175063457902338,0.5,0.5,755.1931112072184,130,130,778.0778087135994,80,80
25,PGC3562838,PGC3562838,15.167977749653435,0.5,0.5,1228.740902040989,130,130,1231.429509882861,80,80
26,PGC5151642,PGC5151642,13.551841899753503,0.5,0.5,1268.3304531843903,130,130,1074.5179776655375,80,80
27,PGC8435626,PGC8435626,11.520966260809471,0.5,0.5,1154.946613313856,130,130,905.9022797352291,80,80
28,PGC4337508,PGC4337508,7.713760725646675,0.5,0.5,560.3401541780016,130,130,669.1823687728536,80,80
29,PGC4680402,PGC4680402,10.665079148343368,0.5,0.5,915.250353547808,130,130,935.9341954538825,80,80
30,PGC3965093,PGC3965093,14.831853566388336,0.5,0.5,1376.0716683444377,130,130,1121.176598232134,80,80
31,PGC1250951,PGC1250951,5.274968560668641,0.5,0.5,458.255753223094,130,130,389.3351859409628,80,80
32,PGC4947471,PGC4947471,13.641563482366772,0.5,0.5,1150.6036885659582,130,130,1078.2565922937442,80,80
33,PGC9790525,PGC9790525,11.66553929431977,0.5,0.5,766.160724785295,130,130,877.164059432112,80,80
34,PGC8610895,PGC8610895,5.675903520959966,0.5,0.5,693.8946567554931,130,130,399.6940685431115,80,80
35,PGC9849732,PGC9849732,10.238038066361009,0.5,0.5,969.6627620274087,130,130,841.220699247409,80,80
36,PGC1420026,PGC1420026,6.676494997275074,0.5,0.5,750.0692445116415,130,130,693.6261341786898,80,80
37,PGC9349359,PGC9349359,9.712824938936963,0.5,0.5,770.3399425140185,130,130,722.4671904743319,80,80
38,PGC7342050,PGC7342050,8.781104889929935,0.5,0.5,911.4905212926318,130,130,858.7861973913936,80,80
39,PGC9586405,PGC9586405,11.684646137013921,0.5,0.5,1085.1469051283948,130,130,969.3652519699576,80,80
40,PGC7460287,PGC7460287,5.8870259277670876,0.5,0.5,486.82061795262643,130,130,659.8608221975967,80,80
41,PGC8918012,PGC8918012,6.252727336018374,0.5,0.5,425.88297215383875,130,130,645.5336086187397,80,80
42,PGC9409399,PGC9409399,8.9441236849374,0.5,0.5,488.75060433524914,130,130,776.9889582375197,80,80
43,PGC2134672,PGC2134672,5.240776270519484,0.5,0.5,421.11181947107855,130,130,345.4484207372597,80,80
44,PGC9235864,PGC9235864,10.41001467182566,0.5,0.5,1007.0659352757674,130,130,687.446312901769,80,80
45,PGC3464679,PGC3464679,5.851868353561638,0.5,0.5,585.8849099129895,130,130,565.4561993302285,80,80
46,PGC7415707,PGC7415707,12.16589902691666,0.5,0.5,1128.2457314518826,130,130,1000.886732224048,80,80
