Unnamed: 0,Name,PGC,dis_center_CoM_CenA_M83_0.76,e_dis_center_min_CoM_CenA_M83_0.76,e_dis_center_max_CoM_CenA_M83_0.76,major_infall_velocity_CoM_CenA_M83_0.76,e_major_infall_velocity_min_CoM_CenA_M83_0.76,e_major_infall_velocity_max_CoM_CenA_M83_0.76,minor_infall_velocity_CoM_CenA_M83_0.76,e_minor_infall_velocity_min_CoM_CenA_M83_0.76,e_minor_infall_velocity_max_CoM_CenA_M83_0.76
0,PGC4803493,PGC4803493,12.825693084600104,0.5,0.5,1242.859169963959,130,130,1134.53347400766,80,80
1,PGC7214479,PGC7214479,8.312823840836542,0.5,0.5,416.1987493863236,130,130,884.1372633617525,80,80
2,PGC7297654,PGC7297654,10.89613817399001,0.5,0.5,914.0867019808385,130,130,903.1517929900417,80,80
3,PGC3119480,PGC3119480,9.425392970456688,0.5,0.5,594.4883493064575,130,130,660.8014936237018,80,80
4,PGC4239959,PGC4239959,4.473072205893294,0.5,0.5,312.7809139115235,130,130,326.4561363907952,80,80
5,PGC1734480,PGC1734480,13.180195697060018,0.5,0.5,1234.936249894199,130,130,1141.8327406908097,80,80
6,PGC2429171,PGC2429171,7.847950074454582,0.5,0.5,453.60659098402016,130,130,738.0069733156126,80,80
7,PGC3295844,PGC3295844,10.700851817134911,0.5,0.5,989.9415205826855,130,130,861.2016054303501,80,80
8,PGC5151370,PGC5151370,12.727789981521934,0.5,0.5,1072.444526218436,130,130,1023.62450820296,80,80
9,PGC9495317,PGC9495317,8.956225109176014,0.5,0.5,824.2426230782353,130,130,640.0758652996624,80,80
10,PGC4513109,PGC4513109,6.429792120911214,0.5,0.5,355.32778935313775,130,130,535.3695781975131,80,80
11,PGC7722802,PGC7722802,14.091649441495138,0.5,0.5,1269.328973034576,130,130,1243.5962213537982,80,80
12,PGC1508244,PGC1508244,10.622385718130955,0.5,0.5,1198.5961874896848,130,130,854.5272488855323,80,80
13,PGC8702986,PGC8702986,4.739341723110363,0.5,0.5,99.1584689050232,130,130,228.0457096571522,80,80
14,PGC9177249,PGC9177249,7.247075088259642,0.5,0.5,570.0694445103717,130,130,407.5570823471384,80,80
