HYPERLEDA,LEDA,LEDA,LEDA,LEDA,"All CF4 Individual Distances","All CF4 Individual Distances"
pgc,v,e_v,RA2000,DEC2000,DMtrgb,eDMt
%7s,%8.0f,%8.0f,%12s,%12s,%5.2f,%4.2f
---,km/s,km/s,h,deg,mag,mag
"The Catalogue of Principal Galaxies (PGC) Number","Mean Heliocentric radial velocity (cz)","Actual error on v","Right Ascension (J2000)","Declination (J2000)","Distance modulus from TRGB measures, CF4 zero point","Error of measured TRGB modulus"
2807061,290,4,070028.2,-041225.6,29.07,0.09
20125,564,4,070517.7,-583108.1,28.57,0.11
20171,735,3,070657.0,-220222.7,29.23,0.10
20445,314,2,071351.7,+103115.8,29.38,0.05
21102,99,2,072854.1,+691253.9,27.53,0.03
21199,530,4,073118.4,-681115.1,28.28,0.03
21302,213,25,073411.4,+665302.4,27.48,0.05
5060050,356,8,073610.3,+095911.0,29.39,0.11
21396,141,9,073651.4,+653608.7,27.47,0.05
21600,272,2,074155.4,+164809.0,29.51,0.02
2807065,493,7,074606.0,-282534.7,28.77,0.09
21772,445,1,074656.6,+511745.7,29.78,0.11
5060076,351,8,075021.7,+074740.0,29.86,0.04
22277,350,6,075702.2,+142327.6,29.43,0.03
23324,158,1,081904.4,+704318.0,27.65,0.02
23344,738,95,081922.2,-850835.4,27.11,0.09
23521,114,3,082355.5,+710151.0,27.62,0.06
23769,396,2,082828.5,+415123.8,29.92,0.04
24050,19,2,083407.2,+661047.9,27.78,0.03
24171,859,9,083615.2,-262433.6,29.53,0.07
24781,809,10,084906.0,-261917.4,29.62,0.08
4087020,402,2,085112.1,+275248.0,29.59,0.04
24930,422,6,085241.2,+332516.0,29.91,0.38
166095,463,3,085250.7,+334751.9,29.76,0.05
166096,0,0,085522.4,+333330.9,29.79,0.06
86668,484,3,090254.0,+200428.9,29.68,0.07
2806961,318,6,090853.7,+143458.3,29.86,0.11
1599237,444,2,091339.0,+193707.6,29.55,0.09
86669,497,6,091930.3,+213613.0,29.79,0.12
26761,465,3,092611.8,-763735.2,28.11,0.03
5056943,0,0,092627.9,+703023.9,27.61,0.14
27077,555,2,093210.1,+213005.1,29.76,0.09
27115,507,34,093248.8,+212756.4,29.59,0.09
5056931,0,0,093403.7,+701257.3,27.35,0.38
5056932,0,0,093915.8,+711841.9,27.76,0.27
27605,140,1,094032.3,+711059.9,27.97,0.03
5056933,0,0,094422.5,+691239.8,27.87,0.27
5056944,0,0,094434.4,+712857.6,27.65,0.06
3097827,-125,130,094447.1,+672619.0,27.82,0.05
27935,541,4,094504.2,+321416.4,29.99,0.30
3097828,0,0,094510.0,+684553.9,27.84,0.05
166101,0,0,095013.1,+673033.0,27.85,0.02
28529,-40,60,095348.7,+685808.9,28.05,0.13
5056934,0,0,095513.5,+702428.9,27.64,0.33
28655,231,6,095552.3,+694047.2,27.74,0.02
4078671,621,41,095637.6,-092910.6,29.81,0.11
28731,216,13,095703.0,+683531.3,27.77,0.02
28759,99,8,095730.8,+691639.8,27.92,0.17
28757,53,7,095732.0,+690245.5,27.88,0.08
28826,77,50,095848.5,+665059.2,27.86,0.05
5056936,-186,44,095933.1,+683924.9,28.10,0.15
2807133,0,0,100012.8,+631103.3,27.78,0.11
29033,446,3,100138.2,-081454.7,29.94,0.26
29146,-7,5,100318.6,+684401.4,27.88,0.07
29230,481,6,100440.9,+292151.8,29.38,0.06
29231,0,0,100441.1,+681522.0,27.79,0.09
29257,-127,4,100507.2,+663332.6,27.76,0.02
29284,347,2,100530.8,+702152.0,29.69,0.03
5056937,0,0,100646.2,+671204.1,27.74,0.13
29388,-16,10,100701.8,+674939.1,27.82,0.02
4689195,-140,64,100806.0,+682357.3,27.82,0.02
29735,185,4,101247.9,+640627.9,27.81,0.06
5056938,0,0,101455.8,+684527.5,27.87,0.19
5056947,0,0,101506.9,+690215.1,28.00,0.39
4689216,-37,60,102125.2,+710658.1,27.94,0.04
