,Name,PGC,RA,Dec,Dis,e_Dis_min,e_Dis_max,ref_dis,V_h,e_V_h,ref_V_h,Source,Type,RA_radians,Dec_radians,cos_theta_CoM_CenA_M83_0.76,angular_distance_CoM_CenA_M83_0.76,dis_center_CoM_CenA_M83_0.76,e_dis_center_min_CoM_CenA_M83_0.76,e_dis_center_max_CoM_CenA_M83_0.76,major_infall_velocity_CoM_CenA_M83_0.76,e_major_infall_velocity_min_CoM_CenA_M83_0.76,e_major_infall_velocity_max_CoM_CenA_M83_0.76,minor_infall_velocity_CoM_CenA_M83_0.76,e_minor_infall_velocity_min_CoM_CenA_M83_0.76,e_minor_infall_velocity_max_CoM_CenA_M83_0.76
0,PGC1599237,PGC1599237,138.4131,19.6188,8.128305161640995,0.3300040564084057,0.3439689797649734,CF4,444.0,2.0,LEDA,,,2.415764322892163,0.005976228235311479,0.4412708216430794,1.1137819895644852,7.30009215853846,0.29233868884108016,0.30575675287697734,8547.36163172183,15085.379184140933,15699.869677484965,412.065601573739,12.197679883952048,12.638707080771951
1,PGC166152,PGC166152,196.2597,-40.0823,5.807644175213121,0.3374845462734024,0.3583058434016974,CF4,615.0,2.0,LEDA,,,3.4253779539763154,-0.01220976680511679,0.9945929227452651,0.10403804150721337,1.9881569297841748,0.39669387137867407,0.42023364652992856,73.8382447197392,98.32971298622249,103.64511265300203,86.4181102723437,8.442177130089021,8.743693699071315
2,KK189,PGC166158,198.1883,-41.832,4.21,0.17,0.17,-6,753.0,4.0,-7,stars,dSph,3.459038373930278,-0.012742755904517594,0.9975240521733081,0.07038423433453249,0.4343468731610756,0.14023080255404052,0.20324601550938187,286.7652841754566,2583.603085164609,3642.7365648292403,189.61752894412027,86.82509913581808,27.717663623385704
3,PGC166163,PGC166163,200.2845,-31.5291,5.495408738576244,0.2473341360785239,0.2589906347953272,CF4,571.0,3.0,LEDA,,,3.495623965710583,-0.009604313090197113,0.9994262422890541,0.03387661688128281,1.6212014759889577,0.31792058967438197,0.3287558926213636,29.551851480493053,47.659726823671704,49.04730776382632,31.382727454347396,8.248421474375927,8.314149105363828
4,KK203,PGC166167,201.8681,-45.3524,3.78,0.25,0.25,-3,306.0,10.0,-7,stars,Tr,3.523262999745165,-0.013815131069134724,0.9999792371856423,0.006444049380191678,0.10472514586507678,0.07997917773360602,0.31991911066209977,241.9582073997066,14677.784398411299,56381.594191569,229.32702823392552,477.722801136841,20.77777142324217
5,KK221,PGC166179,207.1917,-46.9974,3.82,0.07,0.07,-1,507.0,13.0,-14,stars,dIrr,3.616177347804335,-0.014316226724683858,0.9962370028874196,0.08677971546620472,0.33972691750002837,0.009432550390725991,0.05166902309167565,161.60649430076697,831.6362457801418,2862.726778391519,50.94350366193508,19.070236336671535,14.817127480919126
6,PGC020125,PGC20125,106.3238,-58.5189,5.176068319505678,0.2556729626911664,0.2689582089185336,CF4,564.0,4.0,LEDA,,,1.855700383231947,-0.01782587632675642,-0.10250870641666214,1.6734854149868346,6.780791540627088,0.25563990488417687,0.26874960428979655,920.7261885830978,63.344576450655765,65.68378121681505,815.8651268351102,9.552372562057599,8.957871516449018
7,ESO558-011,PGC20171,106.7376,-22.0396,7.014552984199714,0.3157068900344519,0.3305856973714407,CF4,735.0,3.0,LEDA,,,1.8629225556766995,-0.006713646085131142,-0.0954692836250904,1.6664112324326426,8.334937092393018,0.31795853238690697,0.33282991952689756,1119.7964508367907,77.32318827055241,79.99479363330802,946.840030668976,8.418642766736298,8.051713345158078
8,UGC03755,PGC20445,108.4653,10.5211,7.516228940182051,0.1710902586109073,0.1750754626840427,CF4,314.0,2.0,LEDA,,,1.8930766091634055,0.00320491033531794,-0.06553652540618575,1.636379856731074,8.682516804004678,0.18881270850658183,0.19307057420393292,1115.2843956162712,55.444742034697704,56.39418513918023,553.7436762434587,9.525699961681994,9.613936179070492
9,ESO059-001,PGC21199,112.8268,-68.1875,4.5289757990362105,0.0621398775265786,0.0630043293324806,CF4,530.0,4.0,LEDA,,,1.9691991444891384,-0.02077110031170619,0.010816672207553966,1.5599794436504117,5.932914186953342,0.09276312422823096,0.09429952171663292,829.0493115235355,36.63713215798367,37.14432854930497,750.5336593949086,7.424396227739749,7.274799995517924
