,Name,PGC,RA,Dec,Dis,e_Dis_min,e_Dis_max,ref_dis,V_h,e_V_h,ref_V_h,Source,Type,e_V_LG,RA_radians,Dec_radians,cos_theta_CoM_CenA_M83_0.76,angular_distance_CoM_CenA_M83_0.76,dis_center_CoM_CenA_M83_0.76,e_dis_center_min_CoM_CenA_M83_0.76,e_dis_center_max_CoM_CenA_M83_0.76,major_infall_velocity_CoM_CenA_M83_0.76,e_major_infall_velocity_min_CoM_CenA_M83_0.76,e_major_infall_velocity_max_CoM_CenA_M83_0.76,minor_infall_velocity_CoM_CenA_M83_0.76,e_minor_infall_velocity_min_CoM_CenA_M83_0.76,e_minor_infall_velocity_max_CoM_CenA_M83_0.76
0,PGC1599237,PGC1599237,138.4131,19.6188,8.128305161640995,0.3300040564084057,0.3439689797649734,CF4,322.74875595669494,2.0,LEDA,,,2.0,2.415764322892163,0.005976228235311479,0.4412708216430794,1.1137819895644854,7.30009215853846,0.29233868884108016,0.30575675287697734,3983.8955003334145,7109.493929596645,7395.905809298265,295.8950776672267,6.58441868070264,6.815731775115978
1,PGC166152,PGC166152,196.2597,-40.0823,5.807644175213121,0.3374845462734024,0.3583058434016974,CF4,361.9355030193232,2.0,LEDA,,,2.0,3.4253779539763154,-0.01220976680511679,0.9945929227452651,0.10403804150721337,1.9881569297841748,0.39669387137867407,0.42023364652992856,59.37079245166773,80.50891031229524,84.78284032799166,65.30950215710779,7.610557756294192,7.593732974820043
2,KK189,PGC166158,198.1883,-41.832,4.21,0.17,0.17,-6,501.46315827146793,4.0,-7,stars,dSph,4.0,3.459038373930278,-0.012742755904517594,0.9975240521733081,0.07038423433453249,0.4343468731610756,0.14023080255404052,0.20324601550938187,268.9929943730856,2424.249055441186,3417.742695910789,168.04495724801944,85.70251383353903,29.358777886435945
3,PGC166163,PGC166163,200.2845,-31.5291,5.495408738576244,0.2473341360785239,0.2589906347953272,CF4,344.5713239817594,3.0,LEDA,,,3.0,3.495623965710583,-0.009604313090197113,0.9994262422890541,0.03387661688128281,1.6212014759889577,0.31792058967438197,0.3287558926213636,41.24085220272372,63.31051234128981,65.24693992891513,42.03715337750263,8.11583869751859,8.116933414493367
4,KK203,PGC166167,201.8681,-45.3524,3.78,0.25,0.25,-3,57.40932932841815,10.0,-7,stars,Tr,10.0,3.523262999745165,-0.013815131069134724,0.9999792371856423,0.006444049380191678,0.10472514586507678,0.07997917773360602,0.31991911066209977,252.93427704367608,15342.918483464982,58938.55879408216,239.3367025605068,498.52187995273033,21.34199998217389
5,KK221,PGC166179,207.1917,-46.9974,3.82,0.07,0.07,-1,267.8207857080964,13.0,-14,stars,dIrr,13.0,3.616177347804335,-0.014316226724683858,0.9962370028874196,0.08677971546620472,0.33972691750002837,0.009432550390725991,0.05166902309167565,163.25146055927175,839.2843391277115,2891.049012395195,30.82375715766988,19.380827783994466,17.928207999814582
6,PGC020125,PGC20125,106.3238,-58.5189,5.176068319505678,0.2556729626911664,0.2689582089185336,CF4,278.68704610944906,4.0,LEDA,,,4.0,1.855700383231947,-0.01782587632675642,-0.10250870641666214,1.6734854149868346,6.780791540627088,0.25563990488417687,0.26874960428979655,510.1665732425187,38.833376275089144,40.12950979932455,426.5185417840169,8.839447393223793,8.586010570715757
7,ESO558-011,PGC20171,106.7376,-22.0396,7.014552984199714,0.3157068900344519,0.3305856973714407,CF4,493.0354562113097,3.0,LEDA,,,3.0,1.8629225556766995,-0.006713646085131142,-0.0954692836250904,1.6664112324326426,8.334937092393018,0.31795853238690697,0.33282991952689756,641.8151704597321,48.48155313510142,50.01279289748573,602.5326775126346,6.156825288681148,5.938348630673772
8,UGC03755,PGC20445,108.4653,10.5211,7.516228940182051,0.1710902586109073,0.1750754626840427,CF4,188.80529607802544,2.0,LEDA,,,2.0,1.8930766091634055,0.00320491033531794,-0.06553652540618575,1.636379856731074,8.682516804004678,0.18881270850658183,0.19307057420393292,626.7788344408143,35.6550791984931,36.18865686239164,321.83535996391925,7.128500727794972,7.221625173594077
9,ESO059-001,PGC21199,112.8268,-68.1875,4.5289757990362105,0.0621398775265786,0.0630043293324806,CF4,246.7721819663658,4.0,LEDA,,,4.0,1.9691991444891384,-0.02077110031170619,0.010816672207553966,1.5599794436504117,5.932914186953342,0.09276312422823096,0.09429952171663292,465.5209533485129,24.022461054784273,24.307257802505973,382.63693152018175,7.436327097499543,7.3823796883706905
