,Name,PGC,RA,Dec,Dis,e_Dis_min,e_Dis_max,ref_dis,V_h,e_V_h,ref_V_h,Source,Type,RA_radians,Dec_radians,cos_theta_CoM_CenA_M83_0.76,angular_distance_CoM_CenA_M83_0.76,dis_center_CoM_CenA_M83_0.76,e_dis_center_min_CoM_CenA_M83_0.76,e_dis_center_max_CoM_CenA_M83_0.76,major_infall_velocity_CoM_CenA_M83_0.76,e_major_infall_velocity_min_CoM_CenA_M83_0.76,e_major_infall_velocity_max_CoM_CenA_M83_0.76,minor_infall_velocity_CoM_CenA_M83_0.76,e_minor_infall_velocity_min_CoM_CenA_M83_0.76,e_minor_infall_velocity_max_CoM_CenA_M83_0.76
0,NGC4945,PGC045279,196.3583,-49.4711,3.72,0.03,0.03,-3,563.0,3.0,-4,HI,Scd,3.427098848618782,-0.01506975883601024,0.9947902979360028,0.10211984976580124,0.45086170568111206,0.03833374491338465,0.05155832915372305,-29.0481147722044,108.46667488429841,135.22547381573457,39.777153127244716,14.326164274238643,11.378993754240234
1,ESO269-058,PGC045717,197.6333,-46.9908,3.75,0.02,0.02,-1,400.0,18.0,-5,HI,dIrr,3.449351796581709,-0.014314216249713265,0.9968131485970992,0.0798566905545631,0.36345264342258754,0.03679395957515552,0.049062422310399145,256.4146871672368,1109.919296668114,1432.5333308058025,108.9739099667698,31.582643123655103,31.896537067282267
2,ESO269-066,PGC045916,198.2875,-44.89,3.75,0.03,0.03,-1,784.0,31.0,-8,stars,dSph,3.460769740548256,-0.013674275974225348,0.9976598061906039,0.06842670722176261,0.32718602261185015,0.04456729013187416,0.060459963239199443,-382.8222816697003,2202.0895255248256,2905.987237391185,-105.71974697470033,66.61506515817526,72.36395719812873
3,NGC5011C,PGC045917,198.2958,-43.2656,3.73,0.03,0.03,-1,647.0,96.0,-9,stars,Tr,3.460914602876172,-0.013179455437523819,0.9976704164957282,0.06827134918545937,0.3384496054611467,0.048933027287588804,0.06321367775194481,-153.3851913727933,980.3889212657076,1202.9747173419141,-33.50254506887266,94.10699722277855,68.06561778380512
4,KK196,PGC046663,200.4458,-45.0633,3.96,0.11,0.11,-1,741.0,15.0,-11,stars,dIrr,3.4984391817940494,-0.013727066173074384,0.9995260173709669,0.030790260701134053,0.12267204925826188,0.002700414831749473,0.09875331932150523,1763.9802243345705,44514.61478240359,844163.8061448109,44.51342869545034,204.9415271952348,149.52307283018726
5,NGC5102,PGC046674,200.4875,-36.6297,3.74,0.39,0.39,-3,464.0,18.0,-12,HI,Sa,3.4991669840921316,-0.0111580447015612,0.9995493943605722,0.030021308579133987,0.23474215607216958,0.11730338547835018,0.42826570441502326,91.73578532087268,1937.7429324417253,6466.631497502281,77.41548328408226,166.28446984467936,30.01833224188067
6,KK197,PGC046680,200.5086,-42.5359,3.84,0.04,0.04,-1,643.0,3.0,-7,stars,dSph,3.4995352485643023,-0.012957176106305457,0.9995601749198771,0.02965998398252046,0.15568661138694617,0.04039692155169493,0.0786838519296372,-144.24776110899964,2894.6381061420607,5495.790843423464,-53.12375767072723,33.62341735240019,66.60585094921711
7,CenA,PGC046957,201.3667,-43.0167,3.68,0.05,0.05,-1,556.0,10.0,-4,HI,S00,3.514511918875666,-0.013103636161738907,0.9998917645536123,0.014713082541016475,0.27034757082800925,0.10506177992390786,0.1076654857524067,-11.823331855498486,155.57260720825326,158.86765764230182,-9.710891579629743,18.477791477187473,18.504675257583205
8,ESO324-024,PGC047171,201.9042,-41.4806,3.78,0.09,0.09,-1,514.0,18.0,-12,HI,Sdm,3.523893063605135,-0.012635713343204544,0.9999857840621699,0.005332161196439344,0.16575601370021775,0.13991106642479903,0.1487409626646261,30.5903200250422,1266.2379606686573,1342.8174961270217,30.47127868292069,26.01861913407525,26.026683349337436
9,NGC5206,PGC047762,203.4292,-48.1511,3.21,0.01,0.01,-1,583.0,6.0,-13,stars,S0−,3.5505093346980487,-0.014667663841891783,0.9997688622392179,0.021501007671348833,0.7384461815575316,0.06860902122181789,0.06905797120962642,-38.67851174614066,52.73498510802682,52.984297630070515,-37.16928533921291,14.148472720762136,14.151569899824231
10,NGC5237,PGC048139,204.4083,-42.8475,3.33,0.02,0.02,-1,361.0,4.0,-4,HI,BCD,3.567597853404325,-0.013052094894310995,0.9992616263639998,0.038430834490903176,0.6300582561816289,0.07689589453143442,0.07773320785779847,187.52972906007443,306.11362315762113,309.16972842126614,182.61336242667937,12.513216947392237,12.365872284862064
11,NGC5253,PGC048334,204.9792,-31.64,3.55,0.03,0.03,-3,407.0,3.0,-4,HI,Sdm,3.5775619381039605,-0.00963809516205146,0.9988273144978499,0.04843376451194028,0.4341086586698763,0.07920269427530863,0.08275147044179126,150.0986645575778,560.1149593004848,583.317569309266,134.37176082394683,14.064881459135037,12.659924603903875
12,KK211,PGC048515,205.5208,-45.205,3.68,0.14,0.14,-1,600.0,31.0,-14,stars,Sph,3.5870146413327624,-0.013770230461458161,0.998326652549535,0.05785869581611751,0.3442747017876131,0.11197147410737118,0.16814249307773976,-69.5087243350739,737.082226058122,1056.4310345262077,-21.50581358172225,49.78647441822095,47.96158247238862
13,ESO325-011,PGC048738,206.25,-41.8589,3.4,0.05,0.05,-1,544.0,1.0,-15,HI,dIrr,3.5997415822383045,-0.012750950113109855,0.9975116224442188,0.07056075743561016,0.6026560879305424,0.0963174730229367,0.10036879103275143,1.863442651843626,14.211922743302416,14.379436194356703,16.823691764503597,10.85477165158835,11.027441447179974
14,ESO383-087,PGC049050,207.325,-36.0614,3.19,0.03,0.03,-1,326.0,2.0,-4,HI,Sdm,3.6185038716972437,-0.010984930621896411,0.9960133518223236,0.08932300813669819,0.8182636244800044,0.08161263873039315,0.08336011529638254,234.27874731361658,254.78479574628486,259.54828854287075,216.0584679857968,11.655196398809494,11.18924622018585
15,PGC1599237,PGC1599237,138.4131,19.6188,8.128305161640995,0.3300040564084057,0.3439689797649734,CF4,444.0,2.0,LEDA,,,2.415764322892163,0.005976228235311479,0.44148870092267645,1.1135391785465936,7.301937812974626,0.2907940839695513,0.30451503797717283,7146.379320461931,10316.757757087447,10732.595656722573,414.89177435589454,11.86215565583882,12.421416781024789
16,PGC166152,PGC166152,196.2597,-40.0823,5.807644175213121,0.3374845462734024,0.3583058434016974,CF4,615.0,2.0,LEDA,,,3.4253779539763154,-0.01220976680511679,0.994618141674049,0.10379491958569755,1.928207894391362,0.3835818703405627,0.40809272876593483,70.87345725698066,100.6809078787521,106.27784614554834,83.85600523855364,11.406616747146117,11.604638960277768
17,KK189,PGC166158,198.1883,-41.832,4.21,0.17,0.17,-6,753.0,4.0,-7,stars,dSph,3.459038373930278,-0.012742755904517594,0.997541130640608,0.07014096796783095,0.3900898068641617,0.10573949224936485,0.18281245543759772,316.1256106973582,3036.461009199516,5030.3772472231285,175.18824502143875,104.95215151314244,38.032509896297626
