,Name,PGC,RA,Dec,Dis,e_Dis_min,e_Dis_max,ref_dis,V_h,e_V_h,ref_V_h,Source,Type,RA_radians,Dec_radians,cos_theta_CoM_CenA_M83_0.76,angular_distance_CoM_CenA_M83_0.76,dis_center_CoM_CenA_M83_0.76,e_dis_center_min_CoM_CenA_M83_0.76,e_dis_center_max_CoM_CenA_M83_0.76,major_infall_velocity_CoM_CenA_M83_0.76,e_major_infall_velocity_min_CoM_CenA_M83_0.76,e_major_infall_velocity_max_CoM_CenA_M83_0.76,minor_infall_velocity_CoM_CenA_M83_0.76,e_minor_infall_velocity_min_CoM_CenA_M83_0.76,e_minor_infall_velocity_max_CoM_CenA_M83_0.76
0,NGC4945,PGC045279,196.3583,-49.4711,3.72,0.03,0.03,-3,806.5682622380372,3.0,-4,HI,Scd,3.427098848618782,-0.01506975883601024,0.9947902979360028,0.10211984976580124,0.45086170568111206,0.03833374491338465,0.05155832915372305,3.7499143823283245,31.818497818696628,35.27287707028375,70.25629675448847,14.45566917103205,10.576397101916285
1,ESO269-058,PGC045717,197.6333,-46.9908,3.75,0.02,0.02,-1,649.9875116147698,18.0,-5,HI,dIrr,3.449351796581709,-0.014314216249713265,0.9968131485970992,0.0798566905545631,0.36345264342258754,0.03679395957515552,0.049062422310399145,275.51424749721724,1189.1809690495163,1535.8255541528456,131.54829697729687,31.56270403256697,31.21962123970792
2,ESO269-066,PGC045916,198.2875,-44.89,3.75,0.03,0.03,-1,1039.7534991960556,31.0,-8,stars,dSph,3.460769740548256,-0.013674275974225348,0.9976598061906039,0.06842670722176261,0.32718602261185015,0.04456729013187416,0.060459963239199443,-374.96096682113875,2158.1587542758257,2847.601817603891,-88.98264800268294,68.1932309934947,73.59415147315825
3,NGC5011C,PGC045917,198.2958,-43.2656,3.73,0.03,0.03,-1,908.0583726915338,96.0,-9,stars,Tr,3.460914602876172,-0.013179455437523819,0.9976704164957282,0.06827134918545937,0.3384496054611467,0.048933027287588804,0.06321367775194481,-154.009700002035,983.7392780298794,1207.2313333684833,-20.38485927135036,96.35373055696489,70.53504698695805
4,KK196,PGC046663,200.4458,-45.0633,3.96,0.11,0.11,-1,991.1028261553118,15.0,-11,stars,dIrr,3.4984391817940494,-0.013727066173074384,0.9995260173709669,0.030790260701134053,0.12267204925826188,0.002700414831749473,0.09875331932150523,1673.6288007355377,42245.18741717639,800936.1855851767,51.04631419432851,198.81078973907302,139.05742333281864
5,NGC5102,PGC046674,200.4875,-36.6297,3.74,0.39,0.39,-3,738.7304244245108,18.0,-12,HI,Sa,3.4991669840921316,-0.0111580447015612,0.9995493943605722,0.030021308579133987,0.23474215607216958,0.11730338547835018,0.42826570441502326,75.14765210852053,1592.718489539553,5302.670294443225,68.56507289599419,140.70904983551725,26.01095153539073
6,KK197,PGC046680,200.5086,-42.5359,3.84,0.04,0.04,-1,900.9531945217884,3.0,-7,stars,dSph,3.4995352485643023,-0.012957176106305457,0.9995601749198771,0.02965998398252046,0.15568661138694617,0.04039692155169493,0.0786838519296372,-141.02334828081536,2830.2965794003553,5373.304980924484,-46.029033443790745,35.112082926098054,67.28345764531613
7,CenA,PGC046957,201.3667,-43.0167,3.68,0.05,0.05,-1,810.2890244360303,10.0,-4,HI,S00,3.514511918875666,-0.013103636161738907,0.9998917645536123,0.014713082541016475,0.27034757082800925,0.10506177992390786,0.1076654857524067,-5.926941516733841,87.18983676448701,88.84161914325972,-3.301737496362363,18.639385585646306,18.786907287595
8,ESO324-024,PGC047171,201.9042,-41.4806,3.78,0.09,0.09,-1,771.4878344755361,18.0,-12,HI,Sdm,3.523893063605135,-0.012635713343204544,0.9999857840621699,0.005332161196439344,0.16575601370021775,0.13991106642479903,0.1487409626646261,33.16367815192097,1370.5477388153695,1453.5693961529118,33.17353558577405,26.08572183452552,25.96043725463145
9,NGC5206,PGC047762,203.4292,-48.1511,3.21,0.01,0.01,-1,815.5585066966776,6.0,-13,stars,S0−,3.5505093346980487,-0.014667663841891783,0.9997688622392179,0.021501007671348833,0.7384461815575316,0.06860902122181789,0.06905797120962642,-11.023792989385983,25.140345622283974,25.21140237986321,-9.288837082097409,14.169370934992958,14.174099144787284
