Unnamed: 0,Name,PGC,RA,Dec,Dis,e_Dis_min,e_Dis_max,ref_dis,V_h,e_V_h,ref_V_h,Source,Type,e_V_LG,RA_radians,Dec_radians,cos_theta_CoM_CenA_M83_0.84,angular_distance_CoM_CenA_M83_0.84,dis_center_CoM_CenA_M83_0.84,e_dis_center_min_CoM_CenA_M83_0.84,e_dis_center_max_CoM_CenA_M83_0.84,major_infall_velocity_CoM_CenA_M83_0.84,e_major_infall_velocity_min_CoM_CenA_M83_0.84,e_major_infall_velocity_max_CoM_CenA_M83_0.84,minor_infall_velocity_CoM_CenA_M83_0.84,e_minor_infall_velocity_min_CoM_CenA_M83_0.84,e_minor_infall_velocity_max_CoM_CenA_M83_0.84
98,NGC4945,PGC045279,196.3583,-49.4711,3.72,0.03,0.03,-3,298.55724777322644,3.0,-4,HI,Scd,3.0,3.427098848618782,-0.0150697588360102,0.9952374176928024,0.0976357258460774,0.3723747770470487,0.0099475928697118,0.0320759092975353,30.98930526239305,146.21197656393275,309.6284229388253,29.94281420736145,4.394336812412625,2.716819464334648
21,ESO269-058,PGC045717,197.6333,-46.9908,3.75,0.02,0.02,-1,140.480657571108,18.0,-5,HI,dIrr,18.0,3.449351796581709,-0.0143142162497132,0.9971608085752544,0.0753728856312108,0.2863594953756511,0.0054800778940317,0.0265553315003574,987.8344793708002,4981.050232086223,16510.358823244973,37.69097851647827,55.677397085765,53.1954080873631
24,ESO269-066,PGC045916,198.2875,-44.89,3.75,0.03,0.03,-1,528.3534937557538,31.0,-8,stars,dSph,31.0,3.460769740548256,-0.0136742759742253,0.9979562748779952,0.0639440636343842,0.2437395966043399,0.0059686077967254,0.0346750121652859,-1219.5833554424262,7951.56701477186,32242.36567112364,-7.617632109655729,96.90530439318312,99.56182396984912
99,NGC5011C,PGC045917,198.2958,-43.2656,3.73,0.03,0.03,-1,393.5811477877189,96.0,-9,stars,Tr,96.0,3.460914602876172,-0.0131794554375238,0.9979660640500304,0.0637906859463463,0.2463732283412773,0.009353366427873,0.0414002650036493,-338.3868799671176,2401.496129824846,7531.968975942724,1.0154869290814552,84.15343897991013,56.95859935592633
68,KK196,PGC046663,200.4458,-45.0633,3.96,0.11,0.11,-1,489.7223930804906,15.0,-11,stars,dIrr,15.0,3.498439181794049,-0.0137270661730743,0.9996541254718264,0.0263018808533138,0.2008218556023111,0.0993409880265808,0.1659472610424378,216.80516604860588,5087.757626383515,8333.047274558427,165.17834086144703,169.5109681237221,35.46841605680041
101,NGC5102,PGC046674,200.4875,-36.6297,3.74,0.39,0.39,-3,227.00435746184783,18.0,-12,HI,Sa,18.0,3.499166984092132,-0.0111580447015612,0.9996733358681812,0.0255609826993127,0.1070274431697659,0.0103052576134315,0.4085668421912257,171.72862925439583,4273.863656694168,104167.57490333953,39.93064666069567,136.0401702714977,60.162604254738056
69,KK197,PGC046680,200.5086,-42.5359,3.84,0.04,0.04,-1,395.554618859966,3.0,-7,stars,dSph,3.0,3.4995352485643023,-0.0129571761063054,0.9996831070125536,0.0251757711191418,0.1096977339227223,0.013976712641788,0.0785965099009873,193.0163265099781,4039.94118683702,20763.509380806867,51.91365488097384,95.35431802931136,38.45100262047373
8,CenA,PGC046957,201.3667,-43.0167,3.68,0.05,0.05,-1,309.7411942000623,10.0,-4,HI,S00,10.0,3.514511918875666,-0.0131036361617389,0.9999477402321528,0.0102235241510901,0.1135297510957755,0.0754994851901255,0.117007711473653,-5.878044973902823,295.3050739607436,445.1846653424906,-4.183189483673485,15.923363774427727,14.464061898803015
32,ESO324-024,PGC047171,201.9042,-41.4806,3.78,0.09,0.09,-1,271.4628537463437,18.0,-12,HI,Sdm,18.0,3.523893063605135,-0.0126357133432045,0.9999996134327668,0.0008792806810324,0.0076804219241977,0.0042301925487008,0.1596936604030334,36.290392849133575,22703.74350773181,825489.3709235581,29.59758140718716,85.65493123102934,26.472540865463632
104,NGC5206,PGC047762,203.4292,-48.1511,3.21,0.01,0.01,-1,334.06263174088883,6.0,-13,stars,S0−,6.0,3.5505093346980487,-0.0146676638418917,0.999664319910142,0.0259113439144508,0.5839526569066833,0.0781551448781998,0.0796619819917918,-30.07800109082207,64.31653147436204,65.32281382913456,-28.23527671331428,11.47115240234208,11.475960148931469
