Name,PGC,RA,Dec,Dis,e_Dis_min,e_Dis_max,ref_dis,V_h,e_V_h,ref_V_h,Source,Type
NGC4945,PGC045279,196.3583,-49.4711,3.72,0.03,0.03,-3,806.5682622380372,3.0,-4,HI,Scd
ESO269-058,PGC045717,197.6333,-46.9908,3.75,0.02,0.02,-1,649.9875116147698,18.0,-5,HI,dIrr
ESO269-066,PGC045916,198.2875,-44.89,3.75,0.03,0.03,-1,1039.7534991960556,31.0,-8,stars,dSph
NGC5011C,PGC045917,198.2958,-43.2656,3.73,0.03,0.03,-1,908.0583726915338,96.0,-9,stars,Tr
KK196,PGC046663,200.4458,-45.0633,3.96,0.11,0.11,-1,991.1028261553118,15.0,-11,stars,dIrr
NGC5102,PGC046674,200.4875,-36.6297,3.74,0.39,0.39,-3,738.7304244245108,18.0,-12,HI,Sa
KK197,PGC046680,200.5086,-42.5359,3.84,0.04,0.04,-1,900.9531945217883,3.0,-7,stars,dSph
CenA,PGC046957,201.3667,-43.0167,3.68,0.05,0.05,-1,810.2890244360303,10.0,-4,HI,S00
ESO324-024,PGC047171,201.9042,-41.4806,3.78,0.09,0.09,-1,771.4878344755361,18.0,-12,HI,Sdm
NGC5206,PGC047762,203.4292,-48.1511,3.21,0.01,0.01,-1,815.5585066966776,6.0,-13,stars,S0−
NGC5237,PGC048139,204.4083,-42.8475,3.33,0.02,0.02,-1,607.6572422903305,4.0,-4,HI,BCD
NGC5253,PGC048334,204.9792,-31.64,3.55,0.03,0.03,-3,679.6723379305939,3.0,-4,HI,Sdm
KK211,PGC048515,205.5208,-45.205,3.68,0.14,0.14,-1,836.5422369472285,31.0,-14,stars,Sph
ESO325-011,PGC048738,206.25,-41.8589,3.4,0.05,0.05,-1,788.1967284599294,1.0,-15,HI,dIrr
ESO383-087,PGC049050,207.325,-36.0614,3.19,0.03,0.03,-1,581.4848582548817,2.0,-4,HI,Sdm
PGC1599237,PGC1599237,138.4131,19.6188,8.128305161640995,0.3300040564084057,0.3439689797649734,CF4,728.9170039569367,2.0,LEDA,,
PGC166152,PGC166152,196.2597,-40.0823,5.807644175213121,0.3374845462734024,0.3583058434016974,CF4,890.7472033800509,2.0,LEDA,,
KK189,PGC166158,198.1883,-41.832,4.21,0.17,0.17,-6,1018.8404985637891,4.0,-7,stars,dSph
PGC166163,PGC166163,200.2845,-31.5291,5.495408738576244,0.2473341360785239,0.2589906347953272,CF4,858.4240234778546,3.0,LEDA,,
KK203,PGC166167,201.8681,-45.3524,3.78,0.25,0.25,-3,551.6619991955137,10.0,-7,stars,Tr
KK221,PGC166179,207.1917,-46.9974,3.82,0.07,0.07,-1,733.4469813052991,13.0,-14,stars,dIrr
PGC020125,PGC20125,106.3238,-58.5189,5.176068319505678,0.2556729626911664,0.2689582089185336,CF4,692.9716527690911,4.0,LEDA,,
ESO558-011,PGC20171,106.7376,-22.0396,7.014552984199714,0.3157068900344519,0.3305856973714407,CF4,915.0027781307612,3.0,LEDA,,
UGC03755,PGC20445,108.4653,10.5211,7.516228940182051,0.1710902586109073,0.1750754626840427,CF4,488.3233547854944,2.0,LEDA,,
ESO059-001,PGC21199,112.8268,-68.1875,4.5289757990362105,0.0621398775265786,0.0630043293324806,CF4,649.3483952832811,4.0,LEDA,,
UGC03974,PGC21600,115.4808,16.8025,7.979946872679773,0.073160592681515,0.0738375393108983,CF4,472.3284551661035,2.0,LEDA,,
PGC021614,PGC21614,115.632,16.5612,7.798301105232589,0.1069967023664952,0.1084851747656685,CF4,485.51335986806055,4.0,LEDA,,
UGC04115,PGC22277,119.259,14.391,7.691304402866094,0.1055286525742618,0.1069967023664952,CF4,572.7532403128564,6.0,LEDA,,
ESO495-021,PGC24171,129.0633,-26.4093,8.053784411990671,0.2554833067580819,0.2638532990360431,CF4,1134.073228223786,9.0,LEDA,,
ESO496-010,PGC24781,132.2749,-26.3215,8.394599865193978,0.3036408734101439,0.315036034366825,CF4,1095.3660778356639,10.0,LEDA,,
NGC2835,PGC26259,139.4703,-22.3546,11.857687481671608,0.8929055202397631,0.9656183448886236,CF4,1201.6332837974085,2.0,LEDA,,
NGC2915,PGC26761,141.5493,-76.6264,4.187935651179182,0.0574606312775713,0.0582599882839476,CF4,584.4851684046305,3.0,LEDA,,
NGC2903,PGC27077,143.0421,21.5014,8.953647655495944,0.3635124404419798,0.3788953524739735,CF4,847.4794086227656,2.0,LEDA,,
UGC05086,PGC27115,143.2034,21.4657,8.27942163712334,0.3361392898805242,0.3503638405463611,CF4,799.9850412579332,34.0,LEDA,,
PGC2806961,PGC2806961,137.2236,14.5829,9.3756200692588,0.4631106879213451,0.4871747870533003,CF4,611.2118287850928,6.0,LEDA,,
PGC2807061,PGC2807061,105.1176,-4.2071,6.516283940608428,0.2645570128515695,0.2757523855634183,CF4,459.7232192575482,4.0,LEDA,,
PGC2807065,PGC2807065,116.525,-28.4263,5.675446054085469,0.230419525661258,0.2401702876692688,CF4,714.9265952546151,7.0,LEDA,,
