Name,PGC,RA,Dec,Dis,e_Dis_min,e_dis_max,ref_dis,V_h,e_V_h,ref_V_h,Source,Type
NGC4437,PGC41618,188.1895,0.1146,8.165823713585919,0.4390178626289032,0.4639617640837823,-1,1128.0,2.0,-1,TRGB,Gxy
PGC041395,PGC41395,187.7652,1.6758,9.204495717531715,0.5747102398620143,0.6129837126681341,-1,1105.0,4.0,-1,TRGB,Gxy
UGC05797,PGC31693,159.855,1.7185,10.185913880541165,0.9814181630094492,1.0860606812139295,-1,707.0,2.0,-1,TRGB,Gxy
UGC07512,PGC40563,186.4212,2.1593,11.587773561551263,0.4191410837456395,0.43487078462285567,-1,1505.0,2.0,-1,TRGB,Gxy
NGC4600,PGC42447,190.0958,3.1177,9.078205301781855,0.28798013347301676,0.29741476747694406,-1,852.0,30.0,-1,TRGB,Gxy
PGC2807150,PGC2807150,208.6396,4.2444,2.5468302525850426,0.2873944823640655,0.3239503294396515,-1,285.0,3.0,-1,TRGB,Gxy
NGC4526,PGC41772,188.5127,7.6992,15.70362804333553,0.5680155589734355,0.5893322830616832,-1,587.0,8.0,-1,TRGB,Gxy
AGC174605,PGC5060076,117.5904,7.7944,9.3756200692588,0.17112435172708373,0.17430579095555565,-1,351.0,8.0,-1,TRGB,Gxy
UGC05288,PGC28378,147.8208,7.8283,11.27197456175511,0.6550189897678518,0.6954307513173266,-1,554.0,12.0,-1,TRGB,Gxy
NGC4424,PGC40809,186.799,9.4202,15.848931924611133,0.643456627286179,0.670686057679017,-1,442.0,3.0,-1,TRGB,Gxy
AGC174585,PGC5060050,114.0429,9.9864,7.550922276654341,0.3729793639407202,0.39236007058847466,-1,356.0,8.0,-1,TRGB,Gxy
PGC043072,PGC43072,191.5638,10.2055,9.418895965228417,0.9075155832046455,1.0042783287046237,-1,1136.0,2.0,-1,TRGB,Gxy
UGC03755,PGC20445,108.4653,10.5211,7.516228940182051,0.17109025861090732,0.17507546268404273,-1,314.0,2.0,-1,TRGB,Gxy
NGC3351,PGC32007,160.9904,11.7035,9.727472237769655,0.13346592261032342,0.1353226185424603,-1,778.0,2.0,-1,TRGB,Gxy
NGC3368,PGC32192,161.6904,11.8198,10.91440336448757,0.44311788397856944,0.4618694937467449,-1,892.0,2.0,-1,TRGB,Gxy
AGC205315,PGC5057800,162.4697,12.5369,10.0,0.4939520634371828,0.5196187382322233,-1,779.0,8.0,-1,TRGB,Gxy
NGC3379,PGC32256,161.9566,12.5816,11.066237839776658,0.1014558783448134,0.102394638028942,-1,908.0,6.0,-1,TRGB,Gxy
NGC3384,PGC32292,162.0705,12.6294,9.204495717531715,0.08438732397261361,0.08516815026764668,-1,563.0,6.0,-1,TRGB,Gxy
PGC4689210,PGC4689210,161.7216,12.7444,9.594006315159332,0.9642208374896306,1.0719548971432467,-1,640.0,5.0,-1,TRGB,Gxy
NGC3627,PGC34695,170.0625,12.991,11.015393095414156,0.49577435718193286,0.5191394827967795,-1,721.0,2.0,-1,TRGB,Gxy
PGC083339,PGC83339,161.7369,12.9992,9.418895965228417,0.5473358448487993,0.5811040347715828,-1,832.0,4.0,-1,TRGB,Gxy
NGC3377,PGC32249,161.9265,13.9856,10.185913880541165,0.09338501977432045,0.09424910072356596,-1,684.0,11.0,-1,TRGB,Gxy
UGC08091,PGC44491,194.6678,14.2173,2.137962089502231,0.10560507856600987,0.11109251633354811,-1,216.0,2.0,-1,TRGB,Gxy
UGC04115,PGC22277,119.259,14.391,7.691304402866094,0.1055286525742618,0.10699670236649528,-1,350.0,6.0,-1,TRGB,Gxy
ALFAZOAJ1952+1428,PGC5060431,298.0491,14.4733,8.203515443298183,0.5122110404320894,0.5463223089761797,-1,279.0,6.0,-1,TRGB,Gxy
PGC2806961,PGC2806961,137.2236,14.5829,9.3756200692588,0.46311068792134513,0.4871747870533003,-1,318.0,6.0,-1,TRGB,Gxy
NGC4298,PGC39950,185.3867,14.6061,14.521116175877413,1.2777008239307701,1.4009710946342704,-1,1129.0,5.0,-1,TRGB,Gxy
PGC040045,PGC40045,185.5317,15.7992,9.078205301781855,1.0244208897911982,1.1547246210256912,-1,1299.0,2.0,-1,TRGB,Gxy
NGC4328,PGC40209,185.8333,15.8205,14.521116175877413,1.5194203955445076,1.6969847977118668,-1,479.0,10.0,-1,TRGB,Gxy
