HYPERLEDA,LEDA,LEDA,LEDA,LEDA,LEDA,"All CF4 Individual Distances","All CF4 Individual Distances","All CF4 Individual Distances","All CF4 Individual Distances"
pgc,v,e_v,objname,RA2000,DEC2000,DMtrgb,eDMt,RA,DE
%7s,%8.0f,%8.0f,%30s,%12s,%12s,%5.2f,%4.2f,%8.4f,%8.4f
---,km/s,km/s,"\N",h,deg,mag,mag,deg,deg
"The Catalogue of Principal Galaxies (PGC) Number","Mean Heliocentric radial velocity (cz)","Actual error on v","Principal name","Right Ascension (J2000)","Declination (J2000)","Distance modulus from TRGB measures, CF4 zero point","Error of measured TRGB modulus","Right ascension J2000","Declination J2000"
41618,1128,2,NGC4437,123245.5,+000652.6,29.56,0.12,188.1895,0.1146
41395,1105,4,PGC041395,123103.6,+014033.0,29.82,0.14,187.7652,1.6758
31693,707,2,UGC05797,103925.2,+014306.7,30.04,0.22,159.8550,1.7185
40563,1505,2,UGC07512,122541.1,+020933.7,30.32,0.08,186.4212,2.1593
42447,852,30,NGC4600,124023.0,+030703.6,29.79,0.07,190.0958,3.1177
2807150,285,3,PGC2807150,135433.5,+041440.0,27.03,0.26,208.6396,4.2444
41772,587,8,NGC4526,123403.0,+074157.2,30.98,0.08,188.5127,7.6992
5060076,351,8,AGC174605,075021.7,+074740.0,29.86,0.04,117.5904,7.7944
28378,554,12,UGC05288,095117.0,+074942.0,30.26,0.13,147.8208,7.8283
40809,442,3,NGC4424,122711.8,+092512.6,31.00,0.09,186.7990,9.4202
5060050,356,8,AGC174585,073610.3,+095911.0,29.39,0.11,114.0429,9.9864
43072,1136,2,PGC043072,124615.3,+101219.9,29.87,0.22,191.5638,10.2055
20445,314,2,UGC03755,071351.7,+103115.8,29.38,0.05,108.4653,10.5211
32007,778,2,NGC3351,104357.7,+114212.8,29.94,0.03,160.9904,11.7035
32192,892,2,NGC3368,104645.7,+114911.3,30.19,0.09,161.6904,11.8198
83321,0,0,PGC083321,104234.6,+120903.3,29.95,0.13,160.6440,12.1509
166107,0,0,PGC166107,105027.1,+122135.1,29.86,0.11,162.6129,12.3597
5057800,779,8,AGC205315,104952.7,+123213.0,30.00,0.11,162.4697,12.5369
32256,908,6,NGC3379,104749.6,+123453.8,30.22,0.02,161.9566,12.5816
32292,563,6,NGC3384,104816.9,+123745.8,29.82,0.02,162.0705,12.6294
4689210,640,5,PGC4689210,104653.2,+124440.0,29.91,0.23,161.7216,12.7444
83329,0,0,PGC083329,104614.2,+125737.4,30.01,0.16,161.5591,12.9604
34695,721,2,NGC3627,112015.0,+125927.6,30.21,0.10,170.0625,12.9910
83339,832,4,PGC083339,104656.9,+125957.3,29.87,0.13,161.7369,12.9992
32249,684,11,NGC3377,104742.4,+135908.3,30.04,0.02,161.9265,13.9856
83333,0,0,PGC083333,104625.0,+140129.6,29.97,0.22,161.6040,14.0249
44491,216,2,UGC08091,125840.3,+141302.5,26.65,0.11,194.6678,14.2173
22277,350,6,UGC04115,075702.2,+142327.6,29.43,0.03,119.2590,14.3910
5060431,279,6,ALFAZOAJ1952+1428,195211.8,+142824.0,29.57,0.14,298.0491,14.4733
2806961,318,6,PGC2806961,090853.7,+143458.3,29.86,0.11,137.2236,14.5829
39950,1129,5,NGC4298,122132.8,+143622.0,30.81,0.20,185.3867,14.6061
40045,1299,2,PGC040045,122207.6,+154757.2,29.79,0.26,185.5317,15.7992
40209,479,10,NGC4328,122320.0,+154913.7,30.81,0.24,185.8333,15.8205
5067080,360,6,AF7448_001,225935.4,+164604.0,29.46,0.19,344.8977,16.7678
21600,272,2,UGC03974,074155.4,+164809.0,29.51,0.02,115.4808,16.8025
44055,419,4,PGC044055,125540.4,+191233.2,28.37,0.07,193.9185,19.2092
1599237,444,2,PGC1599237,091339.0,+193707.6,29.55,0.09,138.4124,19.6188
86668,484,3,PGC086668,090254.0,+200428.9,29.68,0.07,135.7250,20.0747
5809449,1348,4,AGC229385,123210.3,+202524.0,30.13,0.20,188.0428,20.4233
27115,507,34,UGC05086,093248.8,+212756.4,29.59,0.09,143.2034,21.4657
27077,555,2,NGC2903,093210.1,+213005.1,29.76,0.09,143.0421,21.5014
86669,497,6,PGC086669,091930.3,+213613.0,29.79,0.12,139.8764,21.6036
44182,408,4,NGC4826,125643.8,+214055.0,28.17,0.03,194.1825,21.6820
4343356,539,4,SDSSJ124936.90+215505.7,124936.8,+215505.4,29.01,0.10,192.4035,21.9182
86635,603,1,PGC086635,122804.9,+221727.0,28.95,0.09,187.0206,22.2908
41066,643,3,NGC4455,122844.1,+224917.3,29.05,0.09,187.1837,22.8215
42336,1068,2,NGC4592,123918.8,-003155.1,29.69,0.09,189.8281,-0.5320
2807061,290,4,PGC2807061,070028.2,-041225.6,29.07,0.09,105.1176,-4.2071
29653,324,1,PGC029653,101100.8,-044134.2,25.75,0.08,152.7533,-4.6928
29033,446,3,PGC029033,100138.2,-081454.7,29.94,0.26,150.4092,-8.2485
3097708,1105,5,PGC3097708,123735.9,-085201.5,29.90,0.10,189.3995,-8.8671
4078671,621,41,6dFJ0956376-092911,095637.6,-092910.6,29.81,0.11,149.1567,-9.4863
42120,756,8,PGC042120,123714.1,-102952.3,29.91,0.07,189.3086,-10.4979
42407,1087,5,NGC4594,123959.4,-113722.8,29.80,0.08,189.9977,-11.6230
43851,823,2,PGC043851,125356.8,-120621.2,29.76,0.14,193.4868,-12.1059
44982,749,2,PGC044982,130214.4,-171416.2,28.75,0.07,195.5598,-17.2378
63287,-79,3,ESO594-004,192959.0,-174044.4,25.12,0.08,292.4959,-17.6790
37967,1632,6,NGC4038,120153.0,-185204.8,31.67,0.14,180.4709,-18.8680
37727,1114,4,ESO572-034,115858.1,-190147.6,30.06,0.08,179.7420,-19.0299
44681,827,2,PGC044681,125956.6,-192441.0,29.26,0.09,194.9857,-19.4114
46400,671,2,NGC5068,131855.1,-210221.1,28.51,0.09,199.7295,-21.0392
20171,735,3,ESO558-011,070657.0,-220222.7,29.23,0.10,106.7376,-22.0396
26259,887,2,NGC2835,091752.9,-222116.5,30.37,0.17,139.4703,-22.3546
5098252,376,6,ANTLIAB,094856.1,-255924.0,25.72,0.10,147.2337,-25.9900
24781,809,10,ESO496-010,084906.0,-261917.4,29.62,0.08,132.2749,-26.3215
24171,859,9,ESO495-021,083615.2,-262433.6,29.53,0.07,129.0633,-26.4093
29194,361,3,PGC029194,100404.0,-271955.2,25.63,0.10,151.0165,-27.3320
43978,643,4,ESO443-009,125453.6,-282027.0,28.83,0.11,193.7232,-28.3408
2807065,493,7,PGC2807065,074606.0,-282534.7,28.77,0.09,116.5249,-28.4263
48368,578,3,IC4316,134018.3,-285339.1,28.14,0.04,205.0761,-28.8942
48029,572,2,ESO444-078,133630.8,-291407.3,28.62,0.03,204.1284,-29.2354
166170,0,0,PGC166170,133635.5,-293416.8,28.45,0.08,204.1478,-29.5713
48082,508,2,NGC5236,133700.9,-295156.0,28.40,0.04,204.2537,-29.8656
48467,478,2,NGC5264,134136.7,-295445.8,28.35,0.07,205.4031,-29.9127
166176,0,0,PGC166176,134639.7,-295844.3,28.42,0.06,206.6655,-29.9790
47073,420,8,IC4247,132644.4,-302145.0,28.52,0.04,201.6852,-30.3625
69468,0,0,ESO468-020,224043.8,-304758.1,26.70,0.03,340.1825,-30.7995
46885,490,3,PGC046885,132436.0,-305818.8,28.34,0.06,201.1501,-30.9719
704814,270,89,PGC704814,235840.7,-312802.9,27.77,0.08,359.6697,-31.4675
166163,571,3,PGC166163,132108.3,-313144.9,28.70,0.10,200.2845,-31.5291
64054,432,6,ESO461-036,200357.3,-314053.6,29.13,0.11,300.9890,-31.6816
71431,62,3,ESO407-018,232627.9,-322318.9,26.68,0.08,351.6160,-32.3886
73049,228,3,NGC7793,235749.8,-323527.7,27.75,0.08,359.4573,-32.5910
683190,704,9,PGC683190,113311.0,-325744.8,28.69,0.06,173.2957,-32.9624
677373,591,4,PGC677373,133700.3,-332145.1,28.24,0.15,204.2511,-33.3625
37369,642,3,ESO379-007,115443.2,-333331.5,28.63,0.07,178.6798,-33.5588
49615,505,9,ESO384-016,135701.4,-351958.5,28.21,0.03,209.2559,-35.3329
38252,632,6,ESO379-024,120456.7,-354435.1,28.64,0.10,181.2361,-35.7431
42936,620,8,ESO381-018,124442.5,-355759.7,28.63,0.05,191.1773,-35.9666
49050,329,3,ESO383-087,134917.5,-360348.1,27.47,0.02,207.3228,-36.0634
71775,705,3,IC5332,233427.5,-360605.6,29.72,0.10,353.6145,-36.1016
46674,467,2,NGC5102,132157.6,-363748.4,27.77,0.22,200.4901,-36.6301
31961,669,6,ESO376-016,104327.3,-370237.9,29.15,0.10,160.8636,-37.0439
626659,0,0,PGC626659,233504.1,-371313.8,29.35,0.15,353.7672,-37.2205
71464,691,3,ESO347-017,232656.3,-372049.0,29.58,0.08,351.7344,-37.3469
4614882,582,6,HIPASSJ1348-37,134833.5,-375805.2,28.71,0.07,207.1396,-37.9681
39032,611,3,ESO321-014,121349.7,-381351.5,27.56,0.10,183.4571,-38.2310
32250,715,7,ESO318-013,104741.6,-385113.2,29.15,0.04,161.9232,-38.8537
2815820,0,0,PGC2815820,131114.2,-385422.0,27.28,0.07,197.8090,-38.9061
36014,654,4,ESO320-014,113753.2,-391314.0,28.84,0.04,174.4716,-39.2206
592761,491,3,PGC592761,133725.5,-395319.4,28.48,0.11,204.3561,-39.8887
166152,615,2,PGC166152,130502.3,-400456.5,28.82,0.13,196.2597,-40.0823
5509265,0,0,CENA-MM-DW6,132557.6,-410539.0,27.71,0.18,201.4900,-41.0942
47171,514,2,ESO324-024,132738.4,-412841.7,27.84,0.05,201.9099,-41.4783
5509263,0,0,CENA-MM-DW4,132302.3,-414710.0,27.94,0.12,200.7595,-41.7861
166158,0,0,PGC166158,131245.2,-414955.4,28.08,0.09,198.1884,-41.8321
5072214,0,0,CENA-MM-DW2,132957.3,-415222.6,27.84,0.19,202.4889,-41.8729
5072213,0,0,CENA-MM-DW1,133014.1,-415330.4,27.69,0.10,202.5590,-41.8918
5509264,0,0,CENA-MM-DW5,131952.4,-415937.0,27.87,0.11,199.9683,-41.9936
5509262,0,0,CENA-MM-DW3,133021.5,-421133.0,27.74,0.09,202.5896,-42.1925
46680,0,0,PGC046680,132201.9,-423205.1,27.87,0.02,200.5079,-42.5347
2815823,0,0,PGC2815823,134138.1,-423455.1,27.87,0.25,205.4088,-42.5820
2815822,0,0,PGC2815822,132212.6,-424343.1,27.88,0.04,200.5527,-42.7287
48139,360,8,NGC5237,133739.1,-425048.8,27.56,0.01,204.4128,-42.8469
46957,552,6,NGC5128,132528.1,-430105.2,27.78,0.04,201.3672,-43.0181
45917,647,96,ESO269-068,131311.6,-431553.8,27.81,0.02,198.2985,-43.2649
5509266,0,0,CENA-MM-DW7,132628.7,-433324.0,27.76,0.09,201.6197,-43.5567
166172,0,0,PGC166172,134336.3,-434609.6,27.83,0.11,205.9012,-43.7693
51969,1189,14,NGC5643,143240.7,-441028.1,30.42,0.11,218.1696,-44.1745
52591,629,3,ESO272-025,144325.5,-444218.3,27.91,0.09,220.8561,-44.7051
45916,784,31,ESO269-066,131308.8,-445324.0,27.82,0.02,198.2865,-44.8900
46663,741,15,PGC046663,132147.1,-450344.8,27.94,0.06,200.4461,-45.0624
48515,0,0,PGC048515,134205.7,-451218.6,27.78,0.08,205.5236,-45.2052
166167,0,0,PGC166167,132728.0,-452108.7,27.83,0.14,201.8667,-45.3524
166175,0,0,PGC166175,134617.1,-454105.3,27.67,0.21,206.5714,-45.6848
51659,392,2,PGC051659,142803.6,-461818.6,27.74,0.23,217.0149,-46.3052
45104,744,6,ESO269-037,130333.2,-463512.7,27.44,0.07,195.8883,-46.5869
3097113,529,5,PGC3097113,135118.9,-465824.6,28.74,0.12,207.8286,-46.9735
45717,400,8,ESO269-058,131032.9,-465931.2,27.82,0.01,197.6371,-46.9920
166179,0,0,PGC166179,134846.4,-465947.9,27.86,0.05,207.1935,-46.9966
4689187,0,0,CENTAURUS_N,134809.2,-473353.8,27.77,0.05,207.0384,-47.5650
47762,582,6,NGC5206,133344.1,-480904.2,27.48,0.01,203.4336,-48.1512
490287,597,2,ESO215-009,105730.0,-481101.9,28.64,0.03,164.3750,-48.1839
53639,588,2,ESO223-009,150108.6,-481730.6,28.95,0.02,225.2858,-48.2918
68672,706,3,ESO238-005,222230.5,-482414.4,29.47,0.05,335.6269,-48.4040
52125,621,4,ESO222-010,143503.0,-492518.2,27.44,0.09,218.7626,-49.4217
67045,851,4,NGC7090,213628.9,-543327.4,29.84,0.06,324.1205,-54.5576
20125,564,4,PGC020125,070517.7,-583108.1,28.57,0.11,106.3238,-58.5189
57888,606,5,ESO137-018,162059.1,-602915.3,28.79,0.08,245.2464,-60.4876
64181,814,3,IC4951,200931.7,-615102.1,29.77,0.14,302.3821,-61.8506
62836,852,16,NGC6744,190945.9,-635127.7,29.81,0.10,287.4412,-63.8577
62869,776,8,ESO104-044,191123.1,-641308.4,29.89,0.18,287.8461,-64.2190
60849,306,3,IC4662,174709.4,-643820.8,26.98,0.02,266.7892,-64.6391
62572,796,4,ESO104-022,185541.2,-644841.0,29.71,0.06,283.9215,-64.8114
61922,739,4,IC4710,182838.0,-665856.1,29.29,0.06,277.1581,-66.9822
21199,530,4,ESO059-001,073118.4,-681115.1,28.28,0.03,112.8269,-68.1875
65603,589,3,IC5052,205205.1,-691205.1,28.65,0.06,313.0212,-69.2014
26761,465,3,NGC2915,092611.8,-763735.2,28.11,0.03,141.5493,-76.6264
3994669,413,4,HIPASSJ1247-77,124733.8,-773457.4,27.65,0.17,191.8908,-77.5826
