Name,PGC,Ra (en degrees),Dec (en degrees),V_h,e_V_h,Dis,e_Dis
ESO594-004,PGC63287,292.4959,-17.679,-79,3,1.056817509213659,0.0389345958836875
NGC3109,PGC29128,150.7786,-26.1595,403,2,1.3061708881318403,0.05413625308647304
PGC029194,PGC29194,151.0165,-27.332,361,3,1.3365955165464416,0.06155249823525027
UGC05373,PGC28913,150.0001,5.3322,302,2,1.3995873225726183,0.019336013431794957
ANTLIAB,PGC5098252,147.2337,-25.99,376,6,1.3931568029453023,0.06415724173330194
PGC029653,PGC29653,152.7533,-4.6928,324,1,1.4125375446227544,0.052039806296684255
IC5152,PGC67908,330.6723,-51.2966,124,2,1.914255925021086,0.035261897257032646
UGC08091,PGC44491,194.6678,14.2173,216,2,2.137962089502231,0.10830247200683325
ESO407-018,PGC71431,351.616,-32.3886,62,3,2.1677041048196948,0.0798611705244773
IC3104,PGC39573,184.692,-79.7259,429,4,2.301441817408507,0.021197062484631816
IC4662,PGC60849,266.7892,-64.6391,306,3,2.4888573182823914,0.02292322303866469
PGC2807150,PGC2807150,208.6396,4.2444,285,3,2.5468302525850426,0.30494325544740614
ESO274-001,PGC54392,228.5559,-46.8091,524,3,2.7289777828080406,0.1005392569888918
ESO269-037,PGC45104,195.8883,-46.5869,744,6,3.07609681474071,0.09916164538319798
ESO222-010,PGC52125,218.7626,-49.4217,621,4,3.07609681474071,0.12749354406411167
ESO383-087,PGC49050,207.3228,-36.0634,329,3,3.1188895840939352,0.02872603465211638
NGC5206,PGC47762,203.4336,-48.1512,582,6,3.1332857243155865,0.014429314001800243
NGC5237,PGC48139,204.4128,-42.8469,360,8,3.2508729738543423,0.014970823297628461
ESO321-014,PGC39032,183.4571,-38.231,611,3,3.2508729738543423,0.14970823297628463
ESO325-011,PGC48738,206.2542,-41.8597,546,3,3.3265955329400443,0.06127815427654664
NGC5253,PGC48334,204.9832,-31.6401,408,2,3.357376142429545,0.0309225770285285
HIPASSJ1247-77,PGC3994669,191.8908,-77.5826,413,4,3.388441561392023,0.26527395094325323
NGC4945,PGC45279,196.3638,-49.4679,564,3,3.388441561392023,0.04681305016645645
PGC051659,PGC51659,217.0149,-46.3052,392,2,3.5318316979195674,0.37408777885529854
PGC704814,PGC704814,359.6696,-31.4676,270,89,3.5809643710263597,0.13192760286828953
NGC5102,PGC46674,200.4901,-36.6301,467,2,3.5809643710263597,0.36280090788779623
NGC5128,PGC46957,201.3672,-43.0181,552,6,3.5974933515574254,0.06626827650753053
NGC7793,PGC73049,359.4573,-32.591,228,3,3.7670379898390873,0.10408710624174886
ESO269-068,PGC45917,198.2985,-43.2649,647,96,3.6475394692560754,0.033595080032065815
ESO269-058,PGC45717,197.6371,-46.992,400,8,3.664375746478333,0.01687507393793988
