HYPERLEDA,LEDA,LEDA,LEDA,LEDA,LEDA,"All CF4 TRGB","All CF4 TRGB","All CF4 TRGB","All CF4 TRGB","All CF4 TRGB","All CF4 TRGB","All CF4 TRGB","All CF4 TRGB"
pgc,v,e_v,objname,RA2000,DEC2000,1PGC,D,DMop,eDMop,DMir,eDMir,RAJ,DeJ
%7s,%8.0f,%8.0f,%30s,%12s,%12s,%7d,%5.2f,%5.2f,%5.2f,%5.2f,%5.2f,%8.4f,%8.4f
---,km/s,km/s,"\N",h,deg,,Mpc,mag,mag,mag,mag,deg,deg
"The Catalogue of Principal Galaxies (PGC) Number","Mean Heliocentric radial velocity (cz)","Actual error on v","Principal name","Right Ascension (J2000)","Declination (J2000)","PGC identification of brightest member of group","TRGB distance; average of F814W and IR (F110W+F160W) if both available; Revised 0.977 or -0.05 in modulus from Rizzi (2007)","Distance modulus measure at F814W","Uncertainty in F814W distance modulus","Distance modulus measure averaged over F110W and F160W","Uncertainty in F110W+F160W distance modulus","Right Ascension (J2000)","Declination (J2000)"
63287,-79,3,ESO594-004,192959.0,-174044.4,63287,1.06,25.12,0.08,,,292.4959,-17.6790
29128,403,2,NGC3109,100306.9,-260934.2,29128,1.31,25.58,0.09,,,150.7786,-26.1595
29194,361,3,PGC029194,100404.0,-271955.2,29128,1.34,25.63,0.10,,,151.0165,-27.3320
28913,302,2,UGC05373,100000.0,+051956.0,28913,1.40,25.73,0.03,,,150.0001,5.3322
5098252,376,6,ANTLIAB,094856.1,-255924.0,29128,1.40,25.72,0.10,,,147.2337,-25.9900
29653,324,1,PGC029653,101100.8,-044134.2,29653,1.41,25.75,0.08,,,152.7533,-4.6928
67908,124,2,IC5152,220241.4,-511747.6,67908,1.92,26.41,0.04,,,330.6723,-51.2966
44491,216,2,UGC08091,125840.3,+141302.5,44491,2.14,26.65,0.11,,,194.6678,14.2173
71431,62,3,ESO407-018,232627.9,-322318.9,71431,2.16,26.68,0.08,,,351.6160,-32.3886
69468,0,0,ESO468-020,224043.8,-304758.1,69468,2.18,26.70,0.03,,,340.1825,-30.7995
39573,429,4,IC3104,121846.1,-794333.3,39573,2.30,26.81,0.02,,,184.6920,-79.7259
60849,306,3,IC4662,174709.4,-643820.8,60849,2.49,26.98,0.02,,,266.7892,-64.6391
2807150,285,3,PGC2807150,135433.5,+041440.0,2807150,2.55,27.03,0.26,,,208.6396,4.2444
54392,524,3,ESO274-001,151413.4,-464832.8,54392,2.73,27.18,0.08,,,228.5559,-46.8091
2815820,0,0,PGC2815820,131114.2,-385422.0,46957,2.85,27.28,0.07,,,197.8091,-38.9061
45104,744,6,ESO269-037,130333.2,-463512.7,46957,3.08,27.44,0.07,,,195.8883,-46.5869
52125,621,4,ESO222-010,143503.0,-492518.2,52125,3.08,27.44,0.09,,,218.7626,-49.4217
49050,329,3,ESO383-087,134917.5,-360348.1,49050,3.12,27.47,0.02,,,207.3228,-36.0634
47762,582,6,NGC5206,133344.1,-480904.2,46957,3.13,27.48,0.01,,,203.4336,-48.1512
48139,360,8,NGC5237,133739.1,-425048.8,46957,3.24,27.56,0.01,,,204.4128,-42.8469
39032,611,3,ESO321-014,121349.7,-381351.5,39032,3.24,27.56,0.10,,,183.4571,-38.2310
48738,546,3,ESO325-011,134501.0,-415134.7,46957,3.32,27.61,0.04,,,206.2542,-41.8597
48334,408,2,NGC5253,133956.0,-313824.2,48334,3.36,27.63,0.02,,,204.9832,-31.6401
3994669,413,4,HIPASSJ1247-77,124733.8,-773457.4,39573,3.39,27.65,0.17,,,191.8908,-77.5826
45279,564,3,NGC4945,130527.3,-492804.5,46957,3.39,27.65,0.03,,,196.3638,-49.4679
166175,0,0,PGC166175,134617.1,-454105.3,46957,3.41,27.67,0.21,,,206.5714,-45.6848
5072213,0,0,CENA-MM-DW1,133014.1,-415330.4,46957,3.44,27.69,0.10,,,202.5594,-41.8933
5509265,0,0,CENA-MM-DW6,132557.6,-410539.0,46957,3.49,27.71,0.18,,,201.4904,-41.0942
5509262,0,0,CENA-MM-DW3,133021.5,-421133.0,46957,3.53,27.74,0.09,,,202.5863,-42.1918
51659,392,2,PGC051659,142803.6,-461818.6,51659,3.54,27.74,0.23,,,217.0149,-46.3052
5509266,0,0,CENA-MM-DW7,132628.7,-433324.0,46957,3.57,27.76,0.09,,,201.6196,-43.5569
704814,270,89,PGC704814,235840.7,-312802.9,73049,3.58,27.77,0.08,,,359.6696,-31.4676
4689187,0,0,CENTAURUS_N,134809.2,-473353.8,46957,3.58,27.77,0.05,,,207.0384,-47.5650
46674,467,2,NGC5102,132157.6,-363748.4,46674,3.59,27.77,0.22,,,200.4901,-36.6301
48515,0,0,PGC048515,134205.7,-451218.6,46957,3.60,27.78,0.08,,,205.5236,-45.2052
46957,552,6,NGC5128,132528.1,-430105.2,46957,3.61,27.78,0.04,,,201.3672,-43.0181
73049,228,3,NGC7793,235749.8,-323527.7,73049,3.64,27.75,0.08,27.88,0.06,359.4573,-32.5910
45917,647,96,ESO269-068,131311.6,-431553.8,46957,3.65,27.81,0.02,,,198.2985,-43.2649
45717,400,8,ESO269-058,131032.9,-465931.2,46957,3.65,27.82,0.01,,,197.6371,-46.9920
45916,784,31,ESO269-066,131308.8,-445324.0,46957,3.65,27.82,0.02,,,198.2865,-44.8900
166172,0,0,PGC166172,134336.3,-434609.6,46957,3.67,27.83,0.11,,,205.9013,-43.7693
166167,0,0,PGC166167,132728.0,-452108.7,46957,3.69,27.83,0.14,,,201.8667,-45.3524
5072214,0,0,CENA-MM-DW2,132957.3,-415222.6,46957,3.70,27.84,0.19,,,202.4889,-41.8729
47171,514,2,ESO324-024,132738.4,-412841.7,46957,3.70,27.84,0.05,,,201.9099,-41.4783
166179,0,0,PGC166179,134846.4,-465947.9,46957,3.72,27.86,0.05,,,207.1935,-46.9966
2815823,0,0,PGC2815823,134138.1,-423455.1,46957,3.74,27.87,0.25,,,205.4088,-42.5820
5509264,0,0,CENA-MM-DW5,131952.4,-415937.0,46957,3.75,27.87,0.11,,,199.9683,-41.9939
46680,0,0,PGC046680,132201.9,-423205.1,46957,3.75,27.87,0.02,,,200.5078,-42.5347
2815822,0,0,PGC2815822,132212.6,-424343.1,46957,3.76,27.88,0.04,,,200.5527,-42.7287
52591,629,3,ESO272-025,144325.5,-444218.3,52591,3.82,27.91,0.09,,,220.8561,-44.7051
46663,741,15,PGC046663,132147.1,-450344.8,46957,3.87,27.94,0.06,,,200.4461,-45.0624
5509263,0,0,CENA-MM-DW4,132302.3,-414710.0,46957,3.88,27.94,0.12,,,200.7592,-41.7854
166158,0,0,PGC166158,131245.2,-414955.4,46957,4.13,28.08,0.09,,,198.1884,-41.8321
26761,465,3,NGC2915,092611.8,-763735.2,26761,4.18,28.11,0.03,,,141.5493,-76.6264
48368,578,3,IC4316,134018.3,-285339.1,48082,4.25,28.14,0.04,,,205.0761,-28.8942
72228,269,9,ESO471-006,234345.1,-315733.5,72228,4.26,28.15,0.08,,,355.9379,-31.9593
44182,408,4,NGC4826,125643.8,+214055.0,44182,4.30,28.17,0.03,,,194.1825,21.6820
49615,505,9,ESO384-016,135701.4,-351958.5,49615,4.39,28.21,0.03,,,209.2559,-35.3329
677373,591,4,PGC677373,133700.3,-332145.1,48082,4.45,28.24,0.15,,,204.2511,-33.3625
21199,530,4,ESO059-001,073118.4,-681115.1,21199,4.52,28.28,0.03,,,112.8268,-68.1875
46885,490,3,PGC046885,132436.0,-305818.8,48082,4.65,28.34,0.06,,,201.1501,-30.9719
48467,478,2,NGC5264,134136.7,-295445.8,48082,4.67,28.35,0.07,,,205.4031,-29.9127
44055,419,4,PGC044055,125540.4,+191233.2,44182,4.72,28.37,0.07,,,193.9185,19.2092
48082,508,2,NGC5236,133700.9,-295156.0,48082,4.82,28.40,0.04,28.44,0.11,204.2536,-29.8656
166176,0,0,PGC166176,134639.7,-295844.3,48082,4.83,28.42,0.06,,,206.6655,-29.9790
166170,0,0,PGC166170,133635.5,-293416.8,48082,4.90,28.45,0.08,,,204.1478,-29.5713
592761,491,3,PGC592761,133725.5,-395319.4,592761,4.96,28.48,0.11,,,204.3561,-39.8887
46400,671,2,NGC5068,131855.1,-210221.1,46400,5.04,28.51,0.09,,,199.7295,-21.0392
47073,420,8,IC4247,132644.4,-302145.0,48082,5.06,28.52,0.04,,,201.6852,-30.3625
20125,564,4,PGC020125,070517.7,-583108.1,20125,5.17,28.57,0.11,,,106.3238,-58.5189
50073,507,3,NGC5408,140321.2,-412235.8,50073,5.19,28.58,0.07,,,210.8383,-41.3766
48029,572,2,ESO444-078,133630.8,-291407.3,48082,5.30,28.62,0.03,,,204.1284,-29.2354
42936,620,8,ESO381-018,124442.5,-355759.7,42936,5.32,28.63,0.05,,,191.1772,-35.9666
37369,642,3,ESO379-007,115443.2,-333331.5,37369,5.33,28.63,0.07,,,178.6798,-33.5588
38252,632,6,ESO379-024,120456.7,-354435.1,38252,5.34,28.64,0.10,,,181.2362,-35.7431
490287,597,2,ESO215-009,105730.0,-481101.9,490287,5.35,28.64,0.03,,,164.3750,-48.1839
43048,588,3,ESO381-020,124600.4,-335017.2,43048,5.35,28.64,0.05,,,191.5017,-33.8381
65603,589,3,IC5052,205205.1,-691205.1,65603,5.37,28.65,0.06,,,313.0212,-69.2014
683190,704,9,PGC683190,113311.0,-325744.8,683190,5.47,28.69,0.06,,,173.2957,-32.9624
166163,571,3,PGC166163,132108.3,-313144.9,48082,5.49,28.70,0.10,,,200.2845,-31.5291
4614882,582,6,HIPASSJ1348-37,134833.5,-375805.2,4614882,5.53,28.71,0.07,,,207.1396,-37.9681
3097113,529,5,PGC3097113,135118.9,-465824.6,46957,5.61,28.74,0.12,,,207.8286,-46.9735
44982,749,2,PGC044982,130214.4,-171416.2,45084,5.62,28.75,0.07,,,195.5598,-17.2378
2807065,493,7,PGC2807065,074606.0,-282534.7,2807065,5.67,,,28.77,0.09,116.5250,-28.4263
57888,606,5,ESO137-018,162059.1,-602915.3,57888,5.74,28.79,0.08,,,245.2464,-60.4876
166152,615,2,PGC166152,130502.3,-400456.5,166152,5.79,28.82,0.13,,,196.2597,-40.0823
43978,643,4,ESO443-009,125453.6,-282027.0,43978,5.82,28.83,0.11,,,193.7232,-28.3408
86644,582,4,PGC086644,125146.2,+214408.7,44182,5.85,28.83,0.08,,,192.9423,21.7357
36014,654,4,ESO320-014,113753.2,-391314.0,36014,5.87,28.84,0.04,,,174.4716,-39.2206
45084,746,2,PGC045084,130316.8,-172522.4,45084,5.89,28.85,0.09,,,195.8199,-17.4229
53639,588,2,ESO223-009,150108.6,-481730.6,53639,6.17,28.95,0.02,,,225.2858,-48.2918
86635,603,1,PGC086635,122804.9,+221727.0,41066,6.18,28.95,0.09,,,187.0206,22.2908
4343356,539,4,SDSSJ124936.90+215505.7,124936.8,+215505.4,4343356,6.32,29.01,0.10,,,192.4035,21.9178
41066,643,3,NGC4455,122844.1,+224917.3,41066,6.46,29.05,0.09,,,187.1837,22.8215
2807061,290,4,PGC2807061,070028.2,-041225.6,2807061,6.50,,,29.07,0.09,105.1176,-4.2071
31961,669,6,ESO376-016,104327.3,-370237.9,31961,6.75,29.15,0.10,,,160.8636,-37.0439
