Name,PGC,Ra (en degrees),Dec (en degrees),V_h,e_V_h,Dis,e_Dis_min,e_Dis_max
ESO594-004,PGC63287,292.4959,-17.679,-79,3,1.056817509213659,0.038226121159540716,0.039660686929525735
NGC3109,PGC29128,150.7786,-26.1595,403,2,1.3061708881318403,0.053029713190425376,0.055273794334108395
PGC029194,PGC29194,151.0165,-27.332,361,3,1.3365955165464416,0.06015670773509929,0.06299180602617671
UGC05373,PGC28913,150.0001,5.3322,302,2,1.3995873225726183,0.019203057969733983,0.01947019911647474
ANTLIAB,PGC5098252,147.2337,-25.99,376,6,1.3931568029453023,0.06270238496721281,0.06565745733004635
PGC029653,PGC29653,152.7533,-4.6928,324,1,1.4125375446227544,0.05109286215680342,0.053010296333156015
IC5152,PGC67908,330.6723,-51.2966,124,2,1.914255925021086,0.03493910821781676,0.0355886747369587
UGC08091,PGC44491,194.6678,14.2173,216,2,2.137962089502231,0.10560507856600987,0.11109251633354811
ESO407-018,PGC71431,351.616,-32.3886,62,3,2.1677041048196948,0.0784079739656538,0.08135050101608421
IC3104,PGC39573,184.692,-79.7259,429,4,2.301441817408507,0.0210997454080899,0.021294978948597887
IC4662,PGC60849,266.7892,-64.6391,306,3,2.4888573182823914,0.022817981048051106,0.023029113227188702
PGC2807150,PGC2807150,208.6396,4.2444,285,3,2.5468302525850426,0.2873944823640655,0.3239503294396515
ESO274-001,PGC54392,228.5559,-46.8091,524,3,2.7289777828080406,0.09870979091265708,0.10241421299133613
ESO269-037,PGC45104,195.8883,-46.5869,744,6,3.07609681474071,0.09758038531151891,0.10077725590906317
ESO222-010,PGC52125,218.7626,-49.4217,621,4,3.07609681474071,0.12488758807432232,0.13017250976475703
ESO383-087,PGC49050,207.3228,-36.0634,329,3,3.1188895840939352,0.028594151580345617,0.028858730007378153
NGC5206,PGC47762,203.4336,-48.1512,582,6,3.1332857243155865,0.014396140221651255,0.014462589785732227
NGC5237,PGC48139,204.4128,-42.8469,360,8,3.2508729738543423,0.014936404558063554,0.01500534786901575
