Name,PGC,RA,Dec,Dis,e_dis_min,e_dis_max,ref_dis,V_h,e_V_h,ref_V_h,Source,Type
6dFJ0956376-092911,PGC4078671,149.1567,-9.4863,9.162204901219992,0.4525690016591888,0.4760853350197056,CF4,621.0,41.0,LEDA,,
AF7448_001,PGC5067080,344.8981,16.7654,7.798301105232589,0.6533378444774582,0.7130792767911824,CF4,360.0,6.0,LEDA,,
AGC174585,PGC5060050,114.0429,9.9864,7.550922276654341,0.3729793639407202,0.3923600705884746,CF4,356.0,8.0,LEDA,,
AGC174605,PGC5060076,117.5904,7.7944,9.3756200692588,0.1711243517270837,0.1743057909555556,CF4,351.0,8.0,LEDA,,
AGC205315,PGC5057800,162.4683,12.5392,10.0,0.4939520634371828,0.5196187382322233,CF4,779.0,8.0,LEDA,,
AGC229385,PGC5809449,188.0429,20.4233,10.616955571987242,0.9341770093747516,1.0243047221176609,CF4,1348.0,4.0,LEDA,,
ALFAZOAJ1952+1428,PGC5060431,298.0491,14.4733,8.203515443298183,0.5122110404320894,0.5463223089761797,CF4,279.0,6.0,LEDA,,
ANTLIAB,PGC5098252,147.2337,-25.99,1.3931568029453023,0.0627023849672128,0.0656574573300463,CF4,376.0,6.0,LEDA,,
CenA,PGC046957,201.3667,-43.0167,3.68,0.05,0.05,-1,556.0,10.0,-4,HI,S00
DDO187,PGC50961,213.9854,23.0556,2.249054606,0.041049873,0.041813047,CF4,152.0,2.0,LEDA,,
ESO059-001,PGC21199,112.8268,-68.1875,4.5289757990362105,0.0621398775265786,0.0630043293324806,CF4,530.0,4.0,LEDA,,
ESO104-022,PGC62572,283.9215,-64.8114,8.749837752274363,0.2384573702505914,0.2451380630259887,CF4,796.0,4.0,LEDA,,
ESO104-044,PGC62869,287.8461,-64.219,9.506047936562815,0.7562101842884541,0.8215661210511573,CF4,776.0,8.0,LEDA,,
ESO137-018,PGC57888,245.2464,-60.4876,5.72796030985829,0.2071859170507135,0.21496127629743,CF4,606.0,5.0,LEDA,,
ESO149-003,PGC72675,358.0122,-52.5774,6.854882264526615,0.1560361703613528,0.1596707196730991,CF4,589.0,5.0,LEDA,,
ESO215-009,PGC490287,164.375,-48.1839,5.345643593969718,0.073344979741492,0.0743653100465246,CF4,597.0,2.0,LEDA,,
ESO222-010,PGC52125,218.7626,-49.4217,3.07609681474071,0.1248875880743223,0.130172509764757,CF4,621.0,4.0,LEDA,,
ESO223-009,PGC53639,225.2858,-48.2918,6.165950018614819,0.0565297695590993,0.0570528330767734,CF4,588.0,2.0,LEDA,,
ESO238-005,PGC68672,335.627,-48.404,7.834296427662114,0.1783303585495561,0.1824842062146761,CF4,706.0,3.0,LEDA,,
ESO269-037,PGC45104,195.8883,-46.5869,3.07609681474071,0.0975803853115189,0.1007772559090631,CF4,744.0,6.0,LEDA,,
ESO269-037,PGC045916,195.8875,-46.5842,3.15,0.09,0.09,-1,744.0,2.0,-2,HI,dIrr
ESO269-058,PGC045717,197.6333,-46.9908,3.75,0.02,0.02,-1,400.0,18.0,-5,HI,dIrr
ESO269-058,PGC45717,197.6371,-46.992,3.664375746478333,0.0168362772222576,0.0169139899469845,CF4,400.0,8.0,LEDA,,
ESO269-066,PGC45916,198.2865,-44.89,3.664375746478333,0.0335951987773182,0.0339060513243287,CF4,784.0,31.0,LEDA,,
ESO269-066,PGC045916,198.2875,-44.89,3.75,0.03,0.03,-1,784.0,31.0,-8,stars,dSph
ESO269-068,PGC45917,198.2985,-43.2649,3.6475394692560754,0.0334408428599437,0.0337502671692355,CF4,647.0,96.0,LEDA,,
ESO270-017,PGC47847,203.6951,-45.5473,6.792036326171846,0.1546056221527605,0.1582068497161248,CF4,829.0,4.0,LEDA,,
ESO272-025,PGC52591,220.8561,-44.7051,3.8194427084004654,0.1550669619221332,0.1616289971345059,CF4,629.0,3.0,LEDA,,
ESO274-001,PGC54392,228.5559,-46.8091,2.7289777828080406,0.098709790912657,0.1024142129913361,CF4,524.0,3.0,LEDA,,
ESO318-013,PGC32250,161.9232,-38.8537,6.760829753919814,0.123399049900728,0.1256932095229395,CF4,715.0,7.0,LEDA,,
ESO320-014,PGC36014,174.4716,-39.2206,5.861381645140288,0.1069822717687163,0.1089712206980788,CF4,654.0,4.0,LEDA,,
ESO321-014,PGC39032,183.4571,-38.231,3.2508729738543423,0.1463133857259904,0.1532089231556668,CF4,611.0,3.0,LEDA,,
ESO324-024,PGC047171,201.9042,-41.4806,3.78,0.09,0.09,-1,514.0,18.0,-12,HI,Sdm
ESO324-024,PGC47171,201.9099,-41.4783,3.698281797802662,0.0841831714065302,0.0861440493682716,CF4,514.0,2.0,LEDA,,
ESO325-011,PGC48738,206.2542,-41.8597,3.3265955329400443,0.0607172112166862,0.0618460284519786,CF4,546.0,3.0,LEDA,,
ESO325-011,PGC048738,206.25,-41.8589,3.4,0.05,0.05,-1,544.0,1.0,-15,HI,dIrr
ESO347-017,PGC71464,351.7344,-37.3469,8.241381150130017,0.2980988028872016,0.3092859787168009,CF4,691.0,3.0,LEDA,,
ESO376-016,PGC31961,160.8636,-37.0439,6.760829753919814,0.3042874635732682,0.3186280899215647,CF4,669.0,6.0,LEDA,,
ESO379-007,PGC37369,178.6798,-33.5588,5.321082592667939,0.1687961468503775,0.1743261459083047,CF4,642.0,3.0,LEDA,,
ESO379-024,PGC38252,181.2362,-35.7431,5.345643593969718,0.2405935942156567,0.2519324209813893,CF4,632.0,6.0,LEDA,,
ESO381-018,PGC42936,191.1772,-35.9666,5.321082592667939,0.1211226273327836,0.1239439357562721,CF4,620.0,8.0,LEDA,,
ESO381-020,PGC43048,191.5017,-33.8381,5.345643593969718,0.1216817039785205,0.1245160349700009,CF4,588.0,3.0,LEDA,,
ESO383-087,PGC049050,207.325,-36.0614,3.19,0.03,0.03,-1,326.0,2.0,-4,HI,Sdm
ESO383-087,PGC49050,207.3228,-36.0634,3.1188895840939352,0.0285941515803456,0.0288587300073781,CF4,329.0,3.0,LEDA,,
ESO384-016,PGC49615,209.2559,-35.3329,4.385306977749858,0.0601686673997718,0.0610056969412324,CF4,505.0,9.0,LEDA,,
ESO407-018,PGC71431,351.616,-32.3886,2.1677041048196948,0.0784079739656538,0.0813505010160842,CF4,62.0,3.0,LEDA,,
