Name,PGC,RA,Dec,Dis,e_dis,ref_dis,V_h,e_V_h,ref_V_h,Source,Type
E059-01,PGC21199,112.8304167,-68.18611111,4.57,0.36,K06a,530.0,4.0,,TRGB,Gxy
N2915,PGC26761,141.5479167,-76.62638889,3.78,0.43,CNG,465.0,3.0,,TRGB,Gxy
"SexB,DDO70",PGC28913,150.0004167,5.332222222,1.36,0.07,CNG,302.0,2.0,,TRGB,Gxy
N3109,PGC128,150.78,-26.16,1.33,0.08,CNG,403.0,2.0,,TRGB,Gxy
Antlia,PGC29194,151.0166667,-27.33194444,1.28,0.13,T06,361.0,3.0,,TRGB,Gxy
"SexA,DDO75",PGC29653,152.7533333,-4.692777778,1.32,0.04,CNG,324.0,1.0,,Cep,Gxy
E376-16,PGC31961,160.8629167,-37.0425,5.0,,Ko04,669.0,6.0,,TRGB,Gxy
,PGC32250,161.9245833,-38.85416667,5.8,,CNG,715.0,7.0,,TRGB,Gxy
"E215-09,KKs40",PGC490287,164.3758333,-48.17888889,5.25,0.41,K07,597.0,2.0,,TRGB,Gxy
N3621,PGC34554,169.5670833,-32.81166667,6.7,0.47,CNG,728.0,3.0,,TRGB,Gxy
HIPASS,PGC683190,173.2958333,-32.96194444,5.8,,M04,704.0,9.0,,TRGB,Gxy
"E320-14,KKs44",PGC36014,174.4725,-39.22055556,6.08,0.65,K07,654.0,4.0,,TRGB,Gxy
"E379-07,KK112",PGC3769,178.6791667,-33.55805556,5.22,0.52,CNG,642.0,3.0,,TRGB,Gxy
E379-24,PGC38252,181.23625,-35.74305556,4.9,,M04,632.0,6.0,,TRGB,Gxy
E321-014,PGC39032,183.4566667,-38.23138889,3.19,0.26,CNG,611.0,3.0,,TRGB,Gxy
"I3104,E020-04",PGC39573,184.6920833,-79.72611111,2.27,0.19,CNG,429.0,4.0,,TRGB,Gxy
E381-018,PGC42936,191.1779167,-35.96666667,5.32,0.51,K07,620.0,8.0,,TRGB,Gxy
E381-20,PGC43048,191.5016667,-33.83805556,5.44,0.37,K07,588.0,3.0,,TRGB,Gxy
HIPASS J1247-77,PGC3994669,191.8858333,-77.58361111,3.16,0.25,K06a,413.0,4.0,,TRGB,Gxy
"E443-09,KK170",PGC43978,193.7233333,-28.34083333,5.97,0.46,K07,643.0,4.0,,TRGB,Gxy
"GR8,DDO155",PGC44491,194.6683333,14.2175,2.1,0.34,CNG,216.0,2.0,,TRGB,Gxy
UA319,PGC44982,195.56,-17.2375,7.6,,CNG,749.0,2.0,,TRGB,Gxy
DDO161,PGC45084,195.82,-17.42305556,7.6,,CNG,746.0,2.0,,TRGB,Gxy
"E269-37,KK179",PGC45104,195.8883,-46.5869,3.48,0.35,CNG,744.0,6.0,,TRGB,Gxy
"KK182,Cen6",PGC166152,196.2620833,-40.08277778,5.78,0.42,K07,615.0,2.0,,TRGB,Gxy
N4945,PGC45279,196.35875,-49.47111111,3.82,0.31,G05,564.0,3.0,,TRGB,Gxy
E269-058,PGC45717,197.6370833,-46.99083333,3.8,0.29,K07,400.0,8.0,,TRGB,Gxy
"E269-66,KK190",PGC45916,198.2883333,-44.89,,0.26,K07,784.0,31.0,,TRGB,Gxy
N5068,PGC46400,199.7304167,-21.03916667,6.6,,CNG,671.0,2.0,,TRGB,Gxy
KK195,PGC166163,200.2841667,-31.52972222,5.22,0.325,CNG,571.0,3.0,,TRGB,Gxy
KK196,PGC46663,200.44625,-45.06333333,3.98,0.29,K07,741.0,15.0,,TRGB,Gxy
N5102,PGC46674,200.4908333,-36.62972222,3.4,0.39,CNG,467.0,2.0,,TRGB,Gxy
KK200,PGC46885,201.15,-30.97222222,4.577,0.114,CNG,490.0,3.0,,TRGB,Gxy
"N5128,Cen A",PGC46957,201.3704167,-43.01666667,3.77,0.38,R04,552.0,6.0,,TRGB,Gxy
