Name	RA_degrees	Dec_degrees	Vhelios (LEDA)	e_Vhelios	ref si pas LEDA	Mag (from cosmic flow4 TRGB)	e_Mag	Dis	e_Dis	f_Dis	Ref	Membership	article
E059-01,PGC21199	112.8304167	-68.18611111	530	4		28.28	0.03	4.57	0.36	rgb	K06a		
N2915,PGC26761	141.5479167	-76.62638889	465	3		28.11	0.03	3.78	0.43	rgb	CNG		
SexB,DDO70,PGC28913	150.0004167	5.332222222	302	2		25.73	0.03	1.36	0.07	rgb	CNG		
N3109,PGC128	150.78	-26.16	403	2		25.58	0.09	1.33	0.08	rgb	CNG		
Antlia,PGC29194	151.0166667	-27.33194444	361	3		26.63	0.1	1.28	0.13	rgb	T06		
SexA,DDO75,PGC29653	152.7533333	-4.692777778	324	1		25.75	0.08	1.32	0.04	rgb/cep	CNG		
E376-16,PGC31961	160.8629167	-37.0425	669	6		29.15	0.1	5		rgb	Ko04		
PGC32250	161.9245833	-38.85416667	715	7		29.15	0.04	5.8		rgb	CNG		
E215-09,KKs40,PGC490287	164.3758333	-48.17888889	597	2		28.64	0.03	5.25	0.41	rgb	K07		
N3621,PGC34554	169.5670833	-32.81166667	728	3		29.17	0.09	6.7	0.47	rgb	CNG		
HIPASS,PGC683190	173.2958333	-32.96194444	704	9		28.69	0.06	5.8		rgb	M04		
E320-14,KKs44,PGC36014	174.4725	-39.22055556	654	4		28.84	0.04	6.08	0.65	rgb	K07		
E379-07,KK112,PGC3769	178.6791667	-33.55805556	642	3		28.63	0.07	5.22	0.52	rgb	CNG		
E379-24,PGC38252	181.23625	-35.74305556	632	6		28.64	0.1	4.9		rgb	M04		
E321-014,PGC39032	183.4566667	-38.23138889	611	3		27.56	0.1	3.19	0.26	rgb	CNG		
I3104,E020-04,PGC39573	184.6920833	-79.72611111	429	4		26.81	0.02	2.27	0.19	rgb	CNG		
E381-018,PGC42936	191.1779167	-35.96666667	620	8		28.63	0.05	5.32	0.51	rgb	K07		
E381-20,PGC43048	191.5016667	-33.83805556	588	3		28.64	0.05	5.44	0.37	rgb	K07		
HIPASS J1247-77,PGC3994669	191.8858333	-77.58361111	413	4		27.65	0.17	3.16	0.25	rgb	K06a		
E443-09,KK170,PGC43978	193.7233333	-28.34083333	643	4		28.83	0.11	5.97	0.46	rgb	K07		
GR8,DDO155,PGC44491	194.6683333	14.2175	216	2		26.65	0.11	2.1	0.34	rgb	CNG		
UA319,PGC44982	195.56	-17.2375	749	2		28.75	0.07	7.6		rgb	CNG		
DDO161,PGC45084	195.82	-17.42305556	746	2		28.85	0.09	7.6		rgb	CNG		
E269-37,KK179,PGC45104	195.8883	-46.5869	744	6		27.44	0.07	3.48	0.35	rgb	CNG	C	
KK182,Cen6,PGC166152	196.2620833	-40.08277778	615	2		28.82	0.13	5.78	0.42	rgb	K07		
N4945,PGC45279	196.35875	-49.47111111	564	3		27.65	0.03	3.82	0.31	rgb	G05	C	
E269-058,PGC45717	197.6370833	-46.99083333	400	8		27.82	0.01	3.8	0.29	rgb	K07	C	
E269-66,KK190,PGC45916	198.2883333	-44.89	784	31		27.82	0.02		0.26	rgb	K07	C	
