Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,T,Theta,VLG,e_VLG,Dis,e_Dis,f_Dis,Ref,Note,RA_degrees,RA_radians,Dec_degrees,Dec_radians,cos_theta,angular_distance,dis_center,minor_infall_velocity,major_infall_velocity,major_infall_velocity_bis
E059-01,7.0,31.0,19.3,-,68.0,11.0,10.0,9,-1.5,245,5.0,4.57,0.36,rgb,K06a,,112.83041666666666,1.9692622672304185,-68.18611111111112,-1.190072143019578,0.4543558253351966,1.0991473714060638,5.107052851029772,290.3173215234304,245.25483531309723,319.12158291657147
N2915,9.0,26.0,11.5,-,76.0,37.0,35.0,10,-1.3,184,5.0,3.78,0.43,rgb,CNG,,141.54791666666668,2.4704771951718905,-76.62638888888888,-1.3373827800247104,0.5764828043582442,0.9563786426560438,4.292509335471111,245.6316722186565,46.63338903853813,285.0164797284833
"SexB,DDO70",10.0,0.0,0.1,+,5.0,19.0,56.0,10,-0.7,111,1.0,1.36,0.07,rgb,CNG,,150.00041666666667,2.618001150196711,5.332222222222222,0.09306483422578651,0.4581759462387463,1.0948543398984716,4.695168682736537,270.01093410779305,132.251282975367,261.97439880358814
N3109,10.0,3.0,7.2,-,26.0,9.0,36.0,9,-0.1,110,1.0,1.33,0.08,rgb,CNG,,150.78000000000003,2.6316074461570507,-26.16,-0.4565781323217166,0.6828606132762828,0.8191251168545283,4.361402110149332,241.0358151334321,194.03501811017256,234.78575097866408
"Antlia,P29194",10.0,4.0,4.0,-,27.0,19.0,55.0,10,2.3,66,0.0,1.28,0.13,rgb,T06,,151.01666666666665,2.635738058720103,-27.331944444444446,-0.47703242152772796,0.6897585142805129,0.8096408526732745,4.376364464913787,262.73337527486905,275.90276813118936,264.47417717142037
"SexA,DDO75",10.0,11.0,0.8,-,4.0,41.0,34.0,10,-0.6,94,1.0,1.32,0.04,cep,CNG,,152.75333333333333,2.6660486100630716,-4.692777777777778,-0.081904423286645,0.5787979328534381,0.9535424857208689,4.525857160748373,260.66218491930226,222.55806919531489,256.96670857096467
E376-16,10.0,43.0,27.1,-,37.0,2.0,33.0,10,,364,3.0,5.0,,h,Ko04,,160.86291666666668,2.807587540194595,-37.0425,-0.6465135881699995,0.8030165583392994,0.6384565249843043,3.1921694174482904,206.69235385272205,446.83710457018657,32.62653343990224
P32250,10.0,47.0,41.9,-,38.0,51.0,15.0,7,-1.0,406,7.0,5.8,,h,CNG,,161.92458333333335,2.826117119086602,-38.85416666666667,-0.6781331364519635,0.8116908002204537,0.6237552340316673,3.4177529843457863,231.67473654419732,337.70041824115884,-193.0844514445583
"E215-09,KKs40",10.0,57.0,30.2,-,48.0,10.0,44.0,10,-0.9,290,2.0,5.25,0.41,rgb,K07,,164.37583333333333,2.8688995023761126,-48.178888888888885,-0.8408802410636236,0.8148946984455677,0.6182488319340005,3.168139081261924,180.28237393524535,128.13898825634735,243.16247087805772
N3621,11.0,18.0,16.1,-,32.0,48.0,42.0,7,-1.9,436,5.0,6.7,0.47,cep,CNG,,169.56708333333336,2.9595039071702685,-32.81166666666666,-0.572671616400206,0.8691752271796306,0.517264337198064,3.3789566572969867,226.12549247438486,262.02764172242985,381.76014578788147
HIPASS,11.0,33.0,11.0,-,32.0,57.0,43.0,10,,414,5.0,5.8,,h,M04,,173.29583333333335,3.024582871654007,-32.96194444444445,-0.5752944584150087,0.8949154699268429,0.46255458921845394,2.5883468917552173,185.51254527667143,310.77098781974337,5641.222105276611
"E320-14,KKs44",11.0,37.0,53.4,-,39.0,13.0,14.0,10,-1.2,362,5.0,6.08,0.65,rgb,K07,,174.47250000000003,3.045119579185807,-39.220555555555556,-0.6845278289057982,0.897997618798085,0.45559902345856396,2.6919510786681977,160.63639957816065,165.66534013481694,189.2208510190464
"E379-07,KK112",11.0,54.0,43.0,-,33.0,33.0,29.0,10,-1.3,363,5.0,5.22,0.52,rgb,CNG,,178.67916666666667,3.1185397630530347,-33.558055555555555,-0.5856985600116194,0.9271432869259981,0.3840807149144037,1.9820242874348708,128.96981867883548,368.9451405610418,-201.43127385475069
E379-24,12.0,4.0,56.7,-,35.0,44.0,35.0,10,,354,5.0,4.9,,h,M04,,181.23625,3.163169286467573,-35.74305555555556,-0.6238340041676954,0.9387272234206883,0.35187762628227,1.7793374514303466,106.89104107289222,2174.0400973632836,-89.91208566840504
E321-014,12.0,13.0,49.6,-,38.0,13.0,53.0,10,-0.3,337,5.0,3.19,0.26,rgb,CNG,,183.45666666666665,3.2019228680670637,-38.231388888888894,-0.6672636137214878,0.9449956468315305,0.33321503334392283,2.3857257406895194,35.20068963002348,-70.34931871648601,-16.083245750443105
"I3104,E020-04",12.0,18.0,46.1,-,79.0,43.0,34.0,9,-0.5,171,5.0,2.27,0.19,rgb,CNG,,184.69208333333336,3.223484956534411,-79.72611111111111,-1.3914831386997235,0.6357557727602325,0.8818090816627089,4.109139930083872,232.92518847401826,90.55869215259916,215.8978422165029
E381-018,12.0,44.0,42.7,-,35.0,58.0,0.0,10,-0.6,365,1.0,5.32,0.51,rgb,K07,,191.17791666666665,3.3366841029366756,-35.96666666666667,-0.6277367543006273,0.9761511196747921,0.2188345617213416,1.1554050229969972,80.70529080354508,278.585457939388,1824.1205186008044
E381-20,12.0,46.0,0.4,-,33.0,50.0,17.0,10,-0.3,332,6.0,5.44,0.37,rgb,K07,,191.5016666666667,3.342334606390008,-33.838055555555556,-0.5905854819172035,0.979842889994915,0.20112282099195766,1.100016491409777,68.8231232214489,97.76056138608894,137.59682159807255
HIPASS J1247-77,12.0,47.0,32.6,-,77.0,35.0,1.0,10,-1.0,155,3.0,3.16,0.25,rgb,K06a,,191.88583333333332,3.3490395795997525,-77.58361111111111,-1.354089459475745,0.6684832213987082,0.8386288420726321,3.8485269870851173,229.07865806304133,641.2881104056561,253.04804894614355
"E443-09,KK170",12.0,54.0,53.6,-,28.0,20.0,27.0,10,-0.9,410,1.0,5.97,0.46,rgb,K07,,193.72333333333333,3.3811100046051483,-28.340833333333332,-0.4946408544256263,0.9867986086143159,0.1626686214189439,1.2122058421854536,113.63400506737551,151.86853302058722,166.75974011185355
