;Name;RAh;RAm;RAs;DE-;DEd;DEm;DEs;RA_degrees;Dec_degrees;T;Theta;Vhelios;VLG;e_VLG;Mag;e_Mag;Dis;e_Dis;f_Dis;Ref;Note;article
0;E059-01;7;31;19.3;-;68;11;10;112.8304167;-68.18611111;9;-1.5;;245;5;;;4.57;0.36;rgb;K06a;;
1;N2915;9;26;11.5;-;76;37;35;141.5479167;-76.62638889;10;-1.3;;184;5;;;3.78;0.43;rgb;CNG;;
2;SexB,DDO70;10;0;0.1;+;5;19;56;150.0004167;5.332222222;10;-0.7;;111;1;;;1.36;0.07;rgb;CNG;;
3;N3109;10;3;7.2;-;26;9;36;150.78;-26.16;9;-0.1;;110;1;;;1.33;0.08;rgb;CNG;;
4;Antlia,P29194;10;4;4;-;27;19;55;151.0166667;-27.33194444;10;2.3;;66;0;;;1.28;0.13;rgb;T06;;
5;SexA,DDO75;10;11;0.8;-;4;41;34;152.7533333;-4.692777778;10;-0.6;;94;1;;;1.32;0.04;cep;CNG;;
6;E376-16;10;43;27.1;-;37;2;33;160.8629167;-37.0425;10;;;364;3;;;5;;h;Ko04;;
7;P32250;10;47;41.9;-;38;51;15;161.9245833;-38.85416667;7;-1;;406;7;;;5.8;;h;CNG;;
8;E215-09,KKs40;10;57;30.2;-;48;10;44;164.3758333;-48.17888889;10;-0.9;;290;2;;;5.25;0.41;rgb;K07;;
9;N3621;11;18;16.1;-;32;48;42;169.5670833;-32.81166667;7;-1.9;;436;5;;;6.7;0.47;cep;CNG;;
10;HIPASS;11;33;11;-;32;57;43;173.2958333;-32.96194444;10;;;414;5;;;5.8;;h;M04;;
11;E320-14,KKs44;11;37;53.4;-;39;13;14;174.4725;-39.22055556;10;-1.2;;362;5;;;6.08;0.65;rgb;K07;;
12;E379-07,KK112;11;54;43;-;33;33;29;178.6791667;-33.55805556;10;-1.3;;363;5;;;5.22;0.52;rgb;CNG;;
13;E379-24;12;4;56.7;-;35;44;35;181.23625;-35.74305556;10;;;354;5;;;4.9;;h;M04;;
14;E321-014;12;13;49.6;-;38;13;53;183.4566667;-38.23138889;10;-0.3;;337;5;;;3.19;0.26;rgb;CNG;;
15;I3104,E020-04;12;18;46.1;-;79;43;34;184.6920833;-79.72611111;9;-0.5;;171;5;;;2.27;0.19;rgb;CNG;;
17;E381-018;12;44;42.7;-;35;58;0;191.1779167;-35.96666667;10;-0.6;;365;1;;;5.32;0.51;rgb;K07;;
18;E381-20;12;46;0.4;-;33;50;17;191.5016667;-33.83805556;10;-0.3;;332;6;;;5.44;0.37;rgb;K07;;
19;HIPASS J1247-77;12;47;32.6;-;77;35;1;191.8858333;-77.58361111;10;-1;;155;3;;;3.16;0.25;rgb;K06a;;
20;E443-09,KK170;12;54;53.6;-;28;20;27;193.7233333;-28.34083333;10;-0.9;;410;1;;;5.97;0.46;rgb;K07;;
22;GR8,DDO155;12;58;40.4;+;14;13;3;194.6683333;14.2175;10;-1.2;;136;3;;;2.1;0.34;rgb;CNG;;
23;UA319;13;2;14.4;-;17;14;15;195.56;-17.2375;9;2.1;;547;5;;;7.6;;h;CNG;;
24;DDO161;13;3;16.8;-;17;25;23;195.82;-17.42305556;8;1.4;;545;5;;;7.6;;h;CNG;;
26;KK182,Cen6;13;5;2.9;-;40;4;58;196.2620833;-40.08277778;10;-0.5;;360;3;;;5.78;0.42;rgb;K07;;
27;N4945;13;5;26.1;-;49;28;16;196.35875;-49.47111111;6;0.7;;296;5;;;3.82;0.31;rgb;G05;C;
28;P45628;13;9;36.6;-;27;8;26;197.4025;-27.14055556;10;-0.6;;470;32;;;6.5;;h;CNG;;
29;E269-058;13;10;32.9;-;46;59;27;197.6370833;-46.99083333;10;1.9;;135;3;;;3.8;0.29;rgb;K07;C;
32;E269-66,KK190;13;13;9.2;-;44;53;24;198.2883333;-44.89;-1;1.7;;528;31;;;3.82;0.26;rgb;K07;C;
33;N5068;13;18;55.3;-;21;2;21;199.7304167;-21.03916667;6;-1.4;;473;5;;;6.6;;h;CNG;;
34;KK195;13;21;8.2;-;31;31;47;200.2841667;-31.52972222;10;0;;338;5;;;5.22;0.52;rgb;CNG;M;
36;KK196;13;21;47.1;-;45;3;48;200.44625;-45.06333333;10;2.2;;490;5;;;3.98;0.29;rgb;K07;C;
37;N5102;13;21;57.8;-;36;37;47;200.4908333;-36.62972222;1;0.7;;230;7;;;3.4;0.39;rgb;CNG;C;
41;KK200;13;24;36;-;30;58;20;201.15;-30.97222222;9;1.2;;264;1;;;4.63;0.46;rgb;CNG;M;
42;N5128,Cen A;13;25;28.9;-;43;1;0;201.3704167;-43.01666667;-2;0.6;;301;5;;;3.77;0.38;rgb;R04;C;
43;I4247,E444-34;13;26;44.4;-;30;21;45;201.685;-30.3625;10;1.5;;195;10;;;4.97;0.49;rgb;K07;M;
45;E324-24;13;27;37.4;-;41;28;50;201.9058333;-41.48055556;10;2.4;;270;6;;;3.73;0.43;rgb;CNG;C;
46;P170257;13;29;21;-;21;10;45;202.3375;-21.17916667;10;0.2;;457;29;;;6.3;;h;CNG;;
47;N5206;13;33;43.9;-;48;9;4;203.4329167;-48.15111111;-3;1.1;;322;10;;;3.47;0.28;rgb;Sh06;C;
48;E270-17,RFGC2603;13;34;47.3;-;45;32;51;203.6970833;-45.5475;8;1;;583;2;;;4.3;0.8;tf;K07;C;
49;E444-78,UA365;13;36;30.8;-;29;14;11;204.1283333;-29.23638889;10;2.1;;363;1;;;5.25;0.43;rgb;K07;M;
51;N5236, M83;13;37;0.1;-;29;52;4;204.2504167;-29.86777778;5;0.8;;304;4;;;5.16;0.41;rgb;K07;M;
