,Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,T,Theta,VLG,e_VLG,Dis,e_Dis,f_Dis,Ref,Note,RA_degrees,RA_radians,Dec_degrees,Dec_radians
0,E059-01,7,31,19.3,-,68,11,10.0,9,-1.5,245,5.0,4.57,0.36,rgb,K06a,,112.83041666666666,1.9692622672304185,-68.18611111111112,-1.190072143019578
1,N2915,9,26,11.5,-,76,37,35.0,10,-1.3,184,5.0,3.78,0.43,rgb,CNG,,141.54791666666668,2.4704771951718905,-76.62638888888888,-1.3373827800247104
2,"SexB,DDO70",10,0,0.1,+,5,19,56.0,10,-0.7,111,1.0,1.36,0.07,rgb,CNG,,150.00041666666667,2.618001150196711,5.332222222222222,0.09306483422578651
3,N3109,10,3,7.2,-,26,9,36.0,9,-0.1,110,1.0,1.33,0.08,rgb,CNG,,150.78000000000003,2.6316074461570507,-26.16,-0.4565781323217166
4,"Antlia,P29194",10,4,4.0,-,27,19,55.0,10,2.3,66,0.0,1.28,0.13,rgb,T06,,151.01666666666665,2.635738058720103,-27.331944444444446,-0.47703242152772796
5,"SexA,DDO75",10,11,0.8,-,4,41,34.0,10,-0.6,94,1.0,1.32,0.04,cep,CNG,,152.75333333333333,2.6660486100630716,-4.692777777777778,-0.081904423286645
6,E376-16,10,43,27.1,-,37,2,33.0,10,,364,3.0,5.0,,h,Ko04,,160.86291666666668,2.807587540194595,-37.0425,-0.6465135881699995
7,P32250,10,47,41.9,-,38,51,15.0,7,-1.0,406,7.0,5.8,,h,CNG,,161.92458333333335,2.826117119086602,-38.85416666666667,-0.6781331364519635
8,"E215-09,KKs40",10,57,30.2,-,48,10,44.0,10,-0.9,290,2.0,5.25,0.41,rgb,K07,,164.37583333333333,2.8688995023761126,-48.178888888888885,-0.8408802410636236
9,N3621,11,18,16.1,-,32,48,42.0,7,-1.9,436,5.0,6.7,0.47,cep,CNG,,169.56708333333336,2.9595039071702685,-32.81166666666666,-0.572671616400206
10,HIPASS,11,33,11.0,-,32,57,43.0,10,,414,5.0,5.8,,h,M04,,173.29583333333335,3.024582871654007,-32.96194444444445,-0.5752944584150087
11,"E320-14,KKs44",11,37,53.4,-,39,13,14.0,10,-1.2,362,5.0,6.08,0.65,rgb,K07,,174.47250000000003,3.045119579185807,-39.220555555555556,-0.6845278289057982
12,"E379-07,KK112",11,54,43.0,-,33,33,29.0,10,-1.3,363,5.0,5.22,0.52,rgb,CNG,,178.67916666666667,3.1185397630530347,-33.558055555555555,-0.5856985600116194
13,E379-24,12,4,56.7,-,35,44,35.0,10,,354,5.0,4.9,,h,M04,,181.23625,3.163169286467573,-35.74305555555556,-0.6238340041676954
14,E321-014,12,13,49.6,-,38,13,53.0,10,-0.3,337,5.0,3.19,0.26,rgb,CNG,,183.45666666666665,3.2019228680670637,-38.231388888888894,-0.6672636137214878
15,"I3104,E020-04",12,18,46.1,-,79,43,34.0,9,-0.5,171,5.0,2.27,0.19,rgb,CNG,,184.69208333333336,3.223484956534411,-79.72611111111111,-1.3914831386997235
17,E381-018,12,44,42.7,-,35,58,0.0,10,-0.6,365,1.0,5.32,0.51,rgb,K07,,191.17791666666665,3.3366841029366756,-35.96666666666667,-0.6277367543006273
18,E381-20,12,46,0.4,-,33,50,17.0,10,-0.3,332,6.0,5.44,0.37,rgb,K07,,191.5016666666667,3.342334606390008,-33.838055555555556,-0.5905854819172035
19,HIPASS J1247-77,12,47,32.6,-,77,35,1.0,10,-1.0,155,3.0,3.16,0.25,rgb,K06a,,191.88583333333332,3.3490395795997525,-77.58361111111111,-1.354089459475745
20,"E443-09,KK170",12,54,53.6,-,28,20,27.0,10,-0.9,410,1.0,5.97,0.46,rgb,K07,,193.72333333333333,3.3811100046051483,-28.340833333333332,-0.4946408544256263
22,"GR8,DDO155",12,58,40.4,+,14,13,3.0,10,-1.2,136,3.0,2.1,0.34,rgb,CNG,,194.66833333333335,3.397603366036495,14.2175,0.2481421864022938
23,UA319,13,2,14.4,-,17,14,15.0,9,2.1,547,5.0,7.6,,h,CNG,,195.56,3.4131658852001108,-17.2375,-0.30085112981252254
